Artist,Title,Album,Air Time,Duration,Letter,First Word,Year
Blondie,Call Me (Theme from American Gigolo),Greatest Hits,2023-12-12 08:44:56,6,C,Call,1980
Patti Smith,People Have The Power,Dream Of Life,2023-12-12 08:51:34,4,P,People,1988
Heart,Magic Man,Dreamboat Annie,2023-12-12 08:56:28,5,M,Magic,1975
Bonnie Raitt,Love Has No Pride,Give It Up,2023-12-12 09:02:26,5,L,Love,1972
Aretha Franklin,I Never Loved a Man (The Way I Love You),I Never Loved A Man The Way I Love You,2023-12-12 09:08:24,2,I,I,1967
Cyndi Lauper,Girls Just Want To Have Fun,She's So Unusual,2023-12-12 09:10:59,3,G,Girls,1993
Blondie,Dreaming,Eat to the Beat,2023-12-12 09:14:48,2,D,Dreaming,1979
Linda Ronstadt,You're No Good,Heart Like A Wheel,2023-12-12 09:17:44,5,Y,You're,1974
Donna Summer,I Feel Love,"(12"" single)",2023-12-12 09:23:12,7,I,I,1977
Tori Amos,Crucify,Little Earthquakes,2023-12-12 09:31:09,5,C,Crucify,1992
Aretha Franklin,I Say A Little Prayer,Aretha Now,2023-12-12 09:36:09,3,I,I,1968
Indigo Girls,Galileo,Rites of Passage,2023-12-12 09:39:36,7,G,Galileo,1992
Etta James,I'd Rather Go Blind,Tell Mama,2023-12-12 09:46:41,2,I,I'd,1983
The Pretenders,Back On The Chain Gang,Learning To Crawl,2023-12-12 09:49:10,3,B,Back,1982
Dionne Warwick,Walk On By,Dionne Warwick's Greatest Hits,2023-12-12 09:53:01,2,W,Walk,1987
Kate Bush,This Woman's Work,The Sensual World,2023-12-12 09:55:46,4,T,This,1979
Linda Ronstadt & The Stone Poneys,Different Drum,"Greatest Hits, Volume 1",2023-12-12 10:00:41,3,D,Different,1967
Patti Smith,Dancing Barefoot,Wave,2023-12-12 10:03:44,5,D,Dancing,1979
Brandi Carlile,The Mother,"By The Way, I Forgive You",2023-12-12 10:09:03,3,T,The,2018
Janis Ian,At Seventeen,Between the Lines,2023-12-12 10:12:13,4,A,At,1975
Norah Jones,Come Away With Me,Come Away With Me,2023-12-12 10:16:55,3,C,Come,2001
Aretha Franklin,Chain Of Fools,Lady Soul,2023-12-12 10:20:01,3,C,Chain,1967
The Pretenders,Middle Of The Road,Learning To Crawl,2023-12-12 10:23:55,4,M,Middle,1983
Jefferson Airplane,Somebody To Love,Surrealistic Pillow,2023-12-12 10:28:05,3,S,Somebody,1988
Adele,Someone Like You,21,2023-12-12 10:31:07,6,S,Someone,2011
Florence + the Machine,Dog Days Are Over,Lungs,2023-12-12 10:37:12,4,D,Dog,2008
Roberta Flack,The First Time Ever I Saw Your Face,First Take,2023-12-12 10:41:23,5,T,The,1969
Joni Mitchell,Free Man In Paris,Court & Spark,2023-12-12 10:46:41,4,F,Free,1974
Joni Mitchell,Urge For Going,Songs Of A Prairie Girl,2023-12-12 10:50:45,5,U,Urge,1996
The Pretenders,Mystery Achievement,Pretenders,2023-12-12 10:55:47,5,M,Mystery,2006
Blondie,Rapture,Autoamerican,2023-12-12 11:01:42,8,R,Rapture,1997
Joan Jett And The Blackhearts,I Love Rock & Roll,I Love Rock & Roll,2023-12-12 11:10:12,2,I,I,1981
Eurythmics,Sweet Dreams (Are Made Of This),Sweet Dreams (Are Made Of This),2023-12-12 11:13:05,3,S,Sweet,1994
Nina Simone,Mississippi Goddam,Nina Simone in Concert,2023-12-12 11:16:38,4,M,Mississippi,1987
Joni Mitchell,Help Me,Court & Spark,2023-12-12 11:21:26,4,H,Help,1974
Fiona Apple,Criminal,Tidal,2023-12-12 11:26:19,5,C,Criminal,1996
Aretha Franklin,Think,Aretha Now,2023-12-12 11:31:59,2,T,Think,1968
Madonna,Like A Prayer,Like A Prayer,2023-12-12 11:34:19,6,L,Like,1989
Roberta Flack,Killing Me Softly With His Song,Killing Me Softly,2023-12-12 11:41:00,4,K,Killing,1973
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),Whitney,2023-12-12 11:45:41,4,I,I,1987
Lucinda Williams,Car Wheels On A Gravel Road,Car Wheels On A Gravel Road,2023-12-12 11:50:24,5,C,Car,1998
Amy Winehouse,Rehab,Back to Black,2023-12-12 11:56:13,4,R,Rehab,2007
Nina Simone,Sinnerman,The Best Of Nina Simone,2023-12-12 12:00:14,10,S,Sinnerman,1965
Lesley Gore,You Don't Own Me,The Golden Hits Of Leslie Gore,2023-12-12 12:10:27,3,Y,You,1963
Bonnie Raitt,Something To Talk About,Luck Of The Draw,2023-12-12 12:14:17,3,S,Something,1991
Joni Mitchell,The Circle Game,Ladies Of The Canyon,2023-12-12 12:17:50,5,T,The,1970
Joni Mitchell,Blue,Blue,2023-12-12 12:23:22,4,B,Blue,1969
Annie Lennox,Why,Diva,2023-12-12 12:27:25,4,W,Why,1992
Fleetwood Mac,Rhiannon,Fleetwood Mac,2023-12-12 12:32:15,4,R,Rhiannon,1993
Fleetwood Mac,Dreams,Rumours,2023-12-12 12:36:21,5,D,Dreams,1977
Gloria Gaynor,I Will Survive,20th Century Masters - The Millennium Collection,2023-12-12 12:42:14,3,I,I,1980
Linda Ronstadt,Long Long Time,Silk Purse,2023-12-12 12:45:26,4,L,Long,1970
Tori Amos,Silent All These Years,Little Earthquakes,2023-12-12 12:49:51,5,S,Silent,1991
Heart,Barracuda,Little Queen,2023-12-12 12:55:24,4,B,Barracuda,1990
Ike & Tina Turner,River Deep Mountain High,Back to Mono,2023-12-12 13:00:17,5,R,River,1984
Mazzy Star,Fade Into You,So Tonight That I Might See,2023-12-12 13:05:17,4,F,Fade,1993
Judy Garland,Somewhere Over The Rainbow,Wizard Of Oz,2023-12-12 13:09:59,2,S,Somewhere,1989
The Cranberries,Linger,"Everybody Else Is Doing It, So Why Can't We?",2023-12-12 13:12:50,4,L,Linger,1993
Mark Ronson feat. Amy Winehouse,Valerie,Version,2023-12-12 13:17:19,6,V,Valerie,2007
Joan Armatrading,Love And Affection,Joan Armatrading,2023-12-12 13:23:30,3,L,Love,1979
Cyndi Lauper,Time After Time,She's So Unusual,2023-12-12 13:26:46,4,T,Time,1985
Fleetwood Mac,Songbird,Rumours,2023-12-12 13:30:46,5,S,Songbird,1977
Blondie,Heart Of Glass,Parallel Lines,2023-12-12 13:35:52,5,H,Heart,1988
Carole King,(You Make Me Feel Like) A Natural Woman,Tapestry,2023-12-12 13:41:28,3,(,(,1971
Heart,Crazy On You,Dreamboat Annie,2023-12-12 13:45:10,5,C,Crazy,1975
The Cranberries,Zombie,No Need To Argue,2023-12-12 13:51:01,5,Z,Zombie,2000
Linda Ronstadt,Blue Bayou,Simple Dreams,2023-12-12 13:56:06,4,B,Blue,1970
Dusty Springfield,Son Of A Preacher Man,Dusty in Memphis,2023-12-12 14:00:25,2,S,Son,1984
Fleetwood Mac,Silver Springs,Rumours (Deluxe Version),2023-12-12 14:02:43,6,S,Silver,1977
Carole King,So Far Away,Tapestry,2023-12-12 14:08:47,3,S,So,1971
Carole King,I Feel The Earth Move,Tapestry,2023-12-12 14:12:34,3,I,I,1971
Kate Bush,Wuthering Heights,The Kick Inside,2023-12-12 14:16:14,5,W,Wuthering,1978
Patti Smith,Gloria,Horses,2023-12-12 14:22:08,5,G,Gloria,1975
Nina Simone,Feeling Good,I Put A Spell On You,2023-12-12 14:27:56,2,F,Feeling,1994
Tina Turner,What's Love Got To Do With It,Private Dancer,2023-12-12 14:30:46,3,W,What's,1984
The Pretenders,Brass In Pocket,Pretenders,2023-12-12 14:34:27,4,B,Brass,1988
Fairport Convention,Who Knows Where The Time Goes,Unhalfbricking,2023-12-12 14:38:43,5,W,Who,1969
Taylor Swift,All Too Well (10 minute version),Red (Taylor's Version),2023-12-12 14:43:49,10,A,All,2021
Stevie Nicks,Edge Of Seventeen,Bella Donna,2023-12-12 14:54:42,5,E,Edge,1981
Sin ad O'Connor,The Emperor's New Clothes,I Do Not Want What I Haven't Got,2023-12-12 15:00:35,6,T,The,0
Joni Mitchell,Big Yellow Taxi,Ladies Of The Canyon,2023-12-12 15:07:03,2,B,Big,1970
Ike & Tina Turner,Proud Mary,Workin' Together,2023-12-12 15:09:16,3,P,Proud,1971
Dolly Parton,I Will Always Love You,Jolene,2023-12-12 15:12:42,1,I,I,1974
