Artist,Title,Air Time,Letter,First Word,Duration
Elvis Costello,Almost Blue,2018-11-28 14:54:00,A,Almost,3
Dave Edmunds,Almost Saturday Night,2018-11-28 14:57:00,A,Almost,3
Heart,Alone,2018-11-28 15:00:00,A,Alone,3
Colin Newman,Alone,2018-11-28 15:03:00,A,Alone,6
Prince,Alphabet St,2018-11-28 15:09:00,A,Alphabet,5
Atlantic Starr,Always,2018-11-28 15:14:00,A,Always,5
Paul Carrack,Always Better With You,2018-11-28 15:19:00,A,Always,5
Willie Nelson,Always on My Mind,2018-11-28 15:24:00,A,Always,3
Pet Shop Boys,Always on My Mind,2018-11-28 15:27:00,A,Always,4
Guadalcanal Diary,Always Saturday,2018-11-28 15:31:00,A,Always,7
Naked Eyes,Always Something There To Remind Me,2018-11-28 15:38:00,A,Always,3
The Stranglers,Always The Sun,2018-11-28 15:41:00,A,Always,4
Rank & File,Amanda Ruth,2018-11-28 15:45:00,A,Amanda,3
Prince,America,2018-11-28 15:48:00,A,America,3
Neil Diamond,America,2018-11-28 15:51:00,A,America,4
The Fleshtones,American Beat '84,2018-11-28 15:55:00,A,American,4
The Blasters,American Music,2018-11-28 15:59:00,A,American,2
Bob Seger & The Silver Bullet Band,American Storm,2018-11-28 16:01:00,A,American,5
Adolescents,Amoeba,2018-11-28 16:06:00,A,Amoeba,4
The Hooters,Amore,2018-11-28 16:10:00,A,Amore,4
The dB's,Amplifier,2018-11-28 16:14:00,A,Amplifier,3
U2,An Cat Dubh/Into The Heart,2018-11-28 16:17:00,A,An,9
They Might Be Giants,Ana Ng,2018-11-28 16:26:00,A,Ana,3
Megadeth,Anarchy In The U.K.,2018-11-28 16:29:00,A,Anarchy,3
Michelle Shocked,Anchorage,2018-11-28 16:32:00,A,Anchorage,5
808 State,Ancodia,2018-11-28 16:37:00,A,Ancodia,6
Pete Townshend,And I Moved,2018-11-28 16:43:00,A,And,3
The Long Ryders,And She Rides,2018-11-28 16:46:00,A,And,1
The Long Ryders,And She Rides,2018-11-28 16:47:00,A,And,5
Talking Heads,And She Was,2018-11-28 16:52:00,A,And,3
Van Halen,And The Cradle Will Rock...,2018-11-28 16:55:00,A,And,4
The Hooters,And We Danced,2018-11-28 16:59:00,A,And,4
The Replacements,Androgynous,2018-11-28 17:03:00,A,Androgynous,3
Generation X,Andy Warhol,2018-11-28 17:06:00,A,Andy,4
Aerosmith,Angel,2018-11-28 17:10:00,A,Angel,6
The J. Geils Band,Angel In Blue,2018-11-28 17:16:00,A,Angel,4
Slayer,Angel Of Death,2018-11-28 17:20:00,A,Angel,5
U2,Angel Of Harlem,2018-11-28 17:25:00,A,Angel,5
Sparks,Angst In My Pants,2018-11-28 17:30:00,A,Angst,3
The Europeans,Animal Song,2018-11-28 17:33:00,A,Animal,9
Squeeze,Annie Get Your Gun,2018-11-28 17:42:00,A,Annie,3
Kid Creole & The Coconuts,"Annie, I'm Not Your Daddy",2018-11-28 17:45:00,A,Annie,6
Graham Parker,Another Grey Area,2018-11-28 17:51:00,A,Another,6
Squeeze,Another Nail In My Heart,2018-11-28 17:57:00,A,Another,3
Queen,Another One Bites The Dust,2018-11-28 18:00:00,A,Another,4
The Who,Another Tricky Day,2018-11-28 18:04:00,A,Another,4
Joe Jackson,Another World,2018-11-28 18:08:00,A,Another,6
Prince,Anotherloverholenyohead,2018-11-28 18:14:00,A,Anotherloverholenyohead,4
The Replacements,Answering Machine,2018-11-28 18:18:00,A,Answering,3
Men Without Hats,Antarctica,2018-11-28 18:21:00,A,Antarctica,4
Adam & The Ants,Antmusic,2018-11-28 18:25:00,A,Antmusic,5
Adam & The Ants,Ants Invasion,2018-11-28 18:30:00,A,Ants,3
The Subdudes,Any Cure,2018-11-28 18:33:00,A,Any,4
Greg Kihn,Any Other Woman,2018-11-28 18:37:00,A,Any,3
Journey,Any Way You Want It,2018-11-28 18:40:00,A,Any,9
The Clean,Anything Could Happen,2018-11-28 18:49:00,A,Anything,3
Gloria Estefan and Miami Sound Machine,Anything For You,2018-11-28 18:52:00,A,Anything,4
Prefab Sprout,Appetite,2018-11-28 18:56:00,A,Appetite,4
The Jesus And Mary Chain,April Skies,2018-11-28 19:00:00,A,April,4
Steve Winwood,Arc Of A Diver,2018-11-28 19:04:00,A,Arc,7
Devo,Are You Experienced?,2018-11-28 19:11:00,A,Are,3
Pat Metheny,Are You Going With Me?,2018-11-28 19:14:00,A,Are,10
Lloyd Cole,Are You Ready To Be Heartbroken,2018-11-28 19:24:00,A,Are,3
The Clash,Armagideon Time,2018-11-28 19:27:00,A,Armagideon,3
The Kinks,Around The Dial,2018-11-28 19:30:00,A,Around,6
Prince & The Revolution,Around The World In A Day,2018-11-28 19:36:00,A,Around,3
Sosumi,Art Party,2018-11-28 19:39:00,A,Art,3
Christopher Cross,Arthur's Theme (Best That You Can Do),2018-11-28 19:42:00,A,Arthur's,4
Stevie Wonder,As If You Read My Mind,2018-11-28 19:46:00,A,As,3
David Bowie,Ashes To Ashes,2018-11-28 19:49:00,A,Ashes,6
Johnny Clegg & Savuka,Asimbonanga,2018-11-28 19:55:00,A,Asimbonanga,5
The Smiths,Ask,2018-11-28 20:00:00,A,Ask,3
Skinny Puppy,Assimilate,2018-11-28 20:03:00,A,Assimilate,9
The Who,Athena,2018-11-28 20:12:00,A,Athena,3
Bruce Springsteen,Atlantic City,2018-11-28 20:15:00,A,Atlantic,4
Joy Division,Atmosphere,2018-11-28 20:19:00,A,Atmosphere,6
Tom Robinson,Atmospherics (Listen To The Radio),2018-11-28 20:25:00,A,Atmospherics,4
Lydia Lunch,Atomic Bongos,2018-11-28 20:29:00,A,Atomic,2
Meat Puppets,Attacked By Monsters,2018-11-28 20:31:00,A,Attacked,6
The Adult Net,August,2018-11-28 20:37:00,A,August,5
Prince,Automatic,2018-11-28 20:42:00,A,Automatic,10
Roxy Music,Avalon,2018-11-28 20:52:00,A,Avalon,4
Lou Reed,Average Guy,2018-11-28 20:56:00,A,Average,3
The Feelies,Away,2018-11-28 20:59:00,A,Away,5
Nick Lowe,Awesome,2018-11-28 21:04:00,A,Awesome,3
Harold Faltermeyer,Axel F,2018-11-28 21:07:00,A,Axel,5
Milli Vanilli,Baby Don't Forget My Number,2018-11-28 21:12:00,B,Baby,4
Prince,Baby I'm A Star,2018-11-28 21:16:00,B,Baby,6
A.R. Kane,Baby Milk Snatcher,2018-11-28 21:22:00,B,Baby,6
Patti Austin and James Ingram,"Baby, Come To Me",2018-11-28 21:28:00,B,Baby,3
Bow Wow Wow,"Baby, Oh No",2018-11-28 21:31:00,B,Baby,3
Steely Dan,Babylon Sisters,2018-11-28 21:34:00,B,Babylon,7
AC/DC,Back In Black,2018-11-28 21:41:00,B,Back,4
Steve Winwood,Back in the High Life Again,2018-11-28 21:45:00,B,Back,5
The Pretenders,Back On The Chain Gang,2018-11-28 21:50:00,B,Back,5
Richard & Linda Thompson,Back Street Slide,2018-11-28 21:55:00,B,Back,5
Soul II Soul,Back To Life,2018-11-28 22:00:00,B,Back,3
John Hiatt,Back To Normal,2018-11-28 22:03:00,B,Back,5
George Thorogood & The Destroyers,Back To Wentzville,2018-11-28 22:08:00,B,Back,3
Del Fuegos,Backseat Nothing,2018-11-28 22:11:00,B,Backseat,3
U2,Bad,2018-11-28 22:14:00,B,Bad,6
Michael Jackson,Bad,2018-11-28 22:20:00,B,Bad,5
John Prine,Bad Boy,2018-11-28 22:25:00,B,Bad,4
Luther Vandross,Bad Boy / Having A Party,2018-11-28 22:29:00,B,Bad,5
Eric Clapton,Bad Love,2018-11-28 22:34:00,B,Bad,5
Warren Zevon,Bad Luck Streak In Dancing School,2018-11-28 22:39:00,B,Bad,3
Bon Jovi,Bad Medicine,2018-11-28 22:42:00,B,Bad,5
The Fuzztones,Bad News Travels Fast,2018-11-28 22:47:00,B,Bad,3
Joan Jett,Bad Reputation,2018-11-28 22:50:00,B,Bad,4
Beat Happening,Bad Seeds,2018-11-28 22:54:00,B,Bad,2
George Thorogood & The Destroyers,Bad to the Bone,2018-11-28 22:56:00,B,Bad,5
Baby Flamehead,Badadadadup,2018-11-28 23:01:00,B,Badadadadup,4
Madness,Baggy Trousers,2018-11-28 23:05:00,B,Baggy,5
XTC,Ball And Chain,2018-11-28 23:10:00,B,Ball,4
Love And Rockets,Ball Of Confusion,2018-11-28 23:14:00,B,Ball,3
Felt,Ballad Of The Band,2018-11-28 23:17:00,B,Ballad,5
Robyn Hitchcock & The Egyptians,Balloon Man,2018-11-28 23:22:00,B,Balloon,4
Todd Rundgren,Bang The Drum All Day,2018-11-28 23:26:00,B,Bang,3
Bad Brains,Banned In D.C.,2018-11-28 23:29:00,B,Banned,2
The Smiths,Barbarism Begins At Home,2018-11-28 23:31:00,B,Barbarism,8
Kurtis Blow,Basketball,2018-11-28 23:39:00,B,Basketball,6
Mantronix,Bassline,2018-11-28 23:45:00,B,Bassline,6
The Replacements,Bastards Of Young,2018-11-28 23:51:00,B,Bastards,5
Prince,Bat Dance,2018-11-28 23:56:00,B,Bat,4
Georgia Satellites,Battleship Chains,2018-11-29 00:00:00,B,Battleship,3
Men At Work,Be Good Johnny,2018-11-29 00:03:00,B,Be,3
Journey,Be Good To Yourself,2018-11-29 00:06:00,B,Be,5
Frank Zappa,Be In My Video,2018-11-29 00:11:00,B,Be,4
ABC,"Be Near Me 12""",2018-11-29 00:15:00,B,Be,6
Sting,Be Still My Beating Heart,2018-11-29 00:21:00,B,Be,5
Dead Milkmen,Beach Song,2018-11-29 00:26:00,B,Beach,3
Joe Jackson,Beat Crazy,2018-11-29 00:29:00,B,Beat,4
Michael Jackson,Beat It,2018-11-29 00:33:00,B,Beat,5
Y Pants,Beat It Down,2018-11-29 00:38:00,B,Beat,4
Voice Of The Beehive,Beat Of Love,2018-11-29 00:42:00,B,Beat,4
The Jam,Beat Surrender,2018-11-29 00:46:00,B,Beat,4
The Hooters,Beat Up Guitar,2018-11-29 00:50:00,B,Beat,4
Elvis Costello,Beaten To The Punch,2018-11-29 00:54:00,B,Beaten,1
The House Of Love,Beatles And The Stones,2018-11-29 00:55:00,B,Beatles,5
The Go Gos,Beatnik Beach,2018-11-29 01:00:00,B,Beatnik,3
John Lennon,Beautiful Boy (Darling Boy),2018-11-29 01:03:00,B,Beautiful,4
The Cramps,Beautiful Gardens,2018-11-29 01:07:00,B,Beautiful,3
Ben Vaughn Combo,Beautiful Thing,2018-11-29 01:10:00,B,Beautiful,3
Devo,Beautiful World,2018-11-29 01:13:00,B,Beautiful,3
Heart,Bebe Le Strange,2018-11-29 01:16:00,B,Bebe,6
Midnight Oil,Beds Are Burning,2018-11-29 01:22:00,B,Beds,4
Soft Cell,Bedsitter,2018-11-29 01:26:00,B,Bedsitter,4
Maze featuring Frankie Beverly,Before I Let Go,2018-11-29 01:30:00,B,Before,5
R. E. M.,Begin The Begin,2018-11-29 01:35:00,B,Begin,4
Lou Reed,Beginning Of A Great Adventure,2018-11-29 01:39:00,B,Beginning,5
Teena Marie,Behind The Groove,2018-11-29 01:44:00,B,Behind,7
The Smithereens,Behind The Wall Of Sleep,2018-11-29 01:51:00,B,Behind,4
Depeche Mode,Behind The Wheel,2018-11-29 01:55:00,B,Behind,6
Smokey Robinson,Being With You,2018-11-29 02:01:00,B,Being,4
Bauhaus,Bela Lugosi's Dead,2018-11-29 02:05:00,B,Bela,10
The English Beat,Best Friend,2018-11-29 02:15:00,B,Best,3
Midnight Oil,Best Of Both Worlds,2018-11-29 02:18:00,B,Best,8
Kim Carnes,Bette Davis Eyes,2018-11-29 02:26:00,B,Bette,4
Crowded House,Better Be Home Soon,2018-11-29 02:30:00,B,Better,4
The Plugz,Better Luck,2018-11-29 02:34:00,B,Better,3
The Kinks,Better Things,2018-11-29 02:37:00,B,Better,3
Bob Seger & The Silver Bullet Band,Betty Lou's Gettin' Out Tonight,2018-11-29 02:40:00,B,Betty,4
The Isley Brothers,Between The Sheets,2018-11-29 02:44:00,B,Between,6
Elvis Costello,Beyond Belief,2018-11-29 02:50:00,B,Beyond,2
Adrian Belew,Big Electric Cat,2018-11-29 02:52:00,B,Big,5
Keith Richards,Big Enough,2018-11-29 02:57:00,B,Big,4
Edith Massey,Big Girls Don't Cry,2018-11-29 03:01:00,B,Big,3
The Saints,Big Hits (On The Undergound),2018-11-29 03:04:00,B,Big,3
Dead Milkmen,Big Lizard,2018-11-29 03:07:00,B,Big,3
Robert Plant,Big Log,2018-11-29 03:10:00,B,Big,5
Devo,Big Mess,2018-11-29 03:15:00,B,Big,2
Depeche Mode,Big Muff,2018-11-29 03:17:00,B,Big,5
Laurie Anderson,Big Science,2018-11-29 03:22:00,B,Big,7
Royal Crescent Mob,Big Show,2018-11-29 03:29:00,B,Big,3
Peter Gabriel,Big Time,2018-11-29 03:32:00,B,Big,4
The Afghan Whigs,Big Top Halloween,2018-11-29 03:36:00,B,Big,5
Ambrosia,Biggest Part of Me,2018-11-29 03:41:00,B,Biggest,6
The Smiths,Bigmouth Strikes Again,2018-11-29 03:47:00,B,Bigmouth,3
The Dukes Of Stratosphear,Bike Ride To The Moon,2018-11-29 03:50:00,B,Bike,3
Peter Gabriel,Biko,2018-11-29 03:53:00,B,Biko,7
Robert Wyatt,Biko,2018-11-29 04:00:00,B,Biko,5
Michael Jackson,Billie Jean,2018-11-29 04:05:00,B,Billie,5
The Icicle Works,Birds Fly (Whisper To A Scream),2018-11-29 04:10:00,B,Birds,4
The Godfathers,"Birth, School, Work, Death",2018-11-29 04:14:00,B,Birth,4
Sugarcubes,Birthday,2018-11-29 04:18:00,B,Birthday,4
Kon Kan,Bite The Bullet,2018-11-29 04:22:00,B,Bite,5
Rank & File,Black Book,2018-11-29 04:27:00,B,Black,6
Black Flag,Black Coffee,2018-11-29 04:33:00,B,Black,5
k. d. lang,Black Coffee,2018-11-29 04:38:00,B,Black,3
Squeeze,Black Coffee In Bed,2018-11-29 04:41:00,B,Black,8
The Replacements,Black Diamond,2018-11-29 04:49:00,B,Black,3
The Rolling Stones,Black Limousine,2018-11-29 04:52:00,B,Black,5
Nick Lowe,Black Lincoln Continental,2018-11-29 04:57:00,B,Black,3
M + M,Black Stations White Stations,2018-11-29 05:00:00,B,Black,5
Alannah Myles,Black Velvet,2018-11-29 05:05:00,B,Black,5
Psychedelic Furs,Blacks/Radio,2018-11-29 05:10:00,B,Blacks,7
Milli Vanilli,Blame It On The Rain,2018-11-29 05:17:00,B,Blame,5
Depeche Mode,Blasphemous Rumors,2018-11-29 05:22:00,B,Blasphemous,6
Talking Heads,Blind,2018-11-29 05:28:00,B,Blind,5
Blancmange,"Blind Vision 12""",2018-11-29 05:33:00,B,Blind,10
Violent Femmes,Blister In The Sun,2018-11-29 05:43:00,B,Blister,2
The Smithereens,Blood & Roses,2018-11-29 05:45:00,B,Blood,3
Death Of Samantha,Blood And Shaving Cream,2018-11-29 05:48:00,B,Blood,4
Cocteau Twins,Blue Bell Knoll,2018-11-29 05:52:00,B,Blue,3
Elvis Costello,Blue Chair,2018-11-29 05:55:00,B,Blue,5
Lene Lovich,Blue Hotel,2018-11-29 06:00:00,B,Blue,3
David Bowie,Blue Jean,2018-11-29 06:03:00,B,Blue,4
New Order,Blue Monday,2018-11-29 06:07:00,B,Blue,5
The Smithereens,Blue Period,2018-11-29 06:12:00,B,Blue,3
X,Blue Spark,2018-11-29 06:15:00,B,Blue,6
The Jesus And Mary Chain,Blues From A Gun,2018-11-29 06:21:00,B,Blues,5
Enya,Boadicea,2018-11-29 06:26:00,B,Boadicea,3
Minutemen,Bob Dylan Wrote Propaganda Songs,2018-11-29 06:29:00,B,Bob,1
Bruce Springsteen,Bobby Jean,2018-11-29 06:30:00,B,Bobby,4
The Fall,Bombast,2018-11-29 06:34:00,B,Bombast,4
The Police,Bombs Away,2018-11-29 06:38:00,B,Bombs,3
Prefab Sprout,Bonny,2018-11-29 06:41:00,B,Bonny,4
Fleetwood Mac,Book Of Love,2018-11-29 06:45:00,B,Book,7
Warren Zevon,Boom Boom Mancini,2018-11-29 06:52:00,B,Boom,5
Madonna,Borderline,2018-11-29 06:57:00,B,Borderline,6
Bruce Springsteen,Born In The USA,2018-11-29 07:03:00,B,Born,4
Nina Hagen,Born In Xixax,2018-11-29 07:07:00,B,Born,4
Talking Heads,Born Under Punches (The Heat Goes On),2018-11-29 07:11:00,B,Born,6
Yello,Bostich,2018-11-29 07:17:00,B,Bostich,6
Jackson Browne,Boulevard,2018-11-29 07:23:00,B,Boulevard,3
Jane Siberry,Bound By The Beauty,2018-11-29 07:26:00,B,Bound,5
Book Of Love,Boy,2018-11-29 07:31:00,B,Boy,3
The Golden Palominos,Boy (Go),2018-11-29 07:34:00,B,Boy,7
The Pretenders,Brass In Pocket,2018-11-29 07:41:00,B,Brass,3
Sonic Youth,Brave Men Run (In My Family),2018-11-29 07:44:00,B,Brave,4
Michael Penn,Brave New World,2018-11-29 07:48:00,B,Brave,7
Pixies,Break My Body,2018-11-29 07:55:00,B,Break,2
Matthew Wilder,Break My Stride,2018-11-29 07:57:00,B,Break,4
Graham Parker & The Shot,Break Them Down,2018-11-29 08:01:00,B,Break,4
Clock DVA,Breakdown,2018-11-29 08:05:00,B,Breakdown,5
Grace Jones,Breakdown,2018-11-29 08:10:00,B,Breakdown,6
Boz Scaggs,Breakdown Dead Ahead,2018-11-29 08:16:00,B,Breakdown,7
UB40,Breakfast In Bed,2018-11-29 08:23:00,B,Breakfast,3
Judas Priest,Breaking The Law,2018-11-29 08:26:00,B,Breaking,3
Joe Jackson,Breaking Us In Two,2018-11-29 08:29:00,B,Breaking,4
Depeche Mode,Breathing In Fumes,2018-11-29 08:33:00,B,Breathing,8
X,Breathless,2018-11-29 08:41:00,B,Breathless,2
Bruce Springsteen,Brilliant Disguise,2018-11-29 08:43:00,B,Brilliant,4
Elvis Costello,Brilliant Mistake,2018-11-29 08:47:00,B,Brilliant,7
Melissa Etheridge,Bring Me Some Water,2018-11-29 08:54:00,B,Bring,4
Echo & The Bunnymen,Bring On The Dancing Horses,2018-11-29 08:58:00,B,Bring,4
Public Enemy,Bring The Noise,2018-11-29 09:02:00,B,Bring,4
Def Leppard,Bringin' On The Heartbreak,2018-11-29 09:06:00,B,Bringin',6
Robbie Robertson,Broken Arrow,2018-11-29 09:12:00,B,Broken,5
Kissing The Pink,Broken Body,2018-11-29 09:17:00,B,Broken,5
Jason & The Scorchers,Broken Whiskey Glass,2018-11-29 09:22:00,B,Broken,4
Mr. Mister,Broken Wings,2018-11-29 09:26:00,B,Broken,6
Dire Straits,Brothers In Arms,2018-11-29 09:32:00,B,Brothers,7
Bob Dylan,Brownsville Girl,2018-11-29 09:39:00,B,Brownsville,13
"Joe ""King"" Carrasco And The Crowns",Buena,2018-11-29 09:52:00,B,Buena,3
The Golden Palominos,Buenos Aires,2018-11-29 09:55:00,B,Buenos,4
Malcolm McLaren,Buffalo Gals,2018-11-29 09:59:00,B,Buffalo,4
Bob Marley & The Wailers,Buffalo Soldier,2018-11-29 10:03:00,B,Buffalo,4
Neneh Cherry,Buffalo Stance,2018-11-29 10:07:00,B,Buffalo,8
U2,Bullet The Blue Sky,2018-11-29 10:15:00,B,Bullet,4
The Gap Band,Burn Rubber,2018-11-29 10:19:00,B,Burn,5
Blue Oyster Cult,Burnin' For You,2018-11-29 10:24:00,B,Burnin',5
Robert Plant,Burning Down One Side,2018-11-29 10:29:00,B,Burning,4
Talking Heads,Burning Down The House,2018-11-29 10:33:00,B,Burning,4
Madonna,Burning Up,2018-11-29 10:37:00,B,Burning,4
Lou Reed,Busload Of Faith,2018-11-29 10:41:00,B,Busload,5
The Stone Roses,Bye Bye Badman,2018-11-29 10:46:00,B,Bye,4
The Fall,C.R.E.E.P.,2018-11-29 10:50:00,C,C,4
Bow Wow Wow,"C30, C60, C90 Go",2018-11-29 10:54:00,C,C30,3
Look Blue Go Purple,Cactus Cat,2018-11-29 10:57:00,C,Cactus,3
Bruce Springsteen,Cadillac Ranch,2018-11-29 11:00:00,C,Cadillac,3
Blondie,Call Me,2018-11-29 11:03:00,C,Call,10
Go West,Call Me,2018-11-29 11:13:00,C,Call,4
A House,Call Me Blue,2018-11-29 11:17:00,C,Call,2
Jevetta Steele,Calling You,2018-11-29 11:19:00,C,Calling,8
Stan Ridgway,Camouflage,2018-11-29 11:27:00,C,Camouflage,5
New Edition,Can You Stand The Rain,2018-11-29 11:32:00,C,Can,4
The Police,Canary In A Coalmine,2018-11-29 11:36:00,C,Canary,4
Joe Jackson,Cancer,2018-11-29 11:40:00,C,Cancer,6
New Edition,Candy Girl,2018-11-29 11:46:00,C,Candy,4
Ben Watt,Can't,2018-11-29 11:50:00,C,Can't,5
REO Speedwagon,Can't Fight This Feeling Anymore,2018-11-29 11:55:00,C,Can't,5
The Colourfield,Can't Get Enough Of You Baby,2018-11-29 12:00:00,C,Can't,3
R. E. M.,Can't Get There From Here,2018-11-29 12:03:00,C,Can't,4
The English Beat,Can't Get Used To Losing You,2018-11-29 12:07:00,C,Can't,4
The Replacements,Can't Hardly Wait,2018-11-29 12:11:00,C,Can't,3
Alex Chilton,Can't Seem To Make You Mine,2018-11-29 12:14:00,C,Can't,3
Todd Rundgren,Can't Stop Running,2018-11-29 12:17:00,C,Can't,6
NRBQ,Captain Lou,2018-11-29 12:23:00,C,Captain,3
The Clash,Car Jamming,2018-11-29 12:26:00,C,Car,4
The Housemartins,Caravan Of Love,2018-11-29 12:30:00,C,Caravan,3
