Title,Artist,Year
Accidently Like A Martyr,Warren Zevon,1978
Adam Raised A Cain,Bruce Springsteen,1978
Ain't Talkin' 'bout Love,Van Halen,1978
Ain't We Funkin' Now,Brothers Johnson,1978
Airport,The Motors,1978
All At Sea,Budgie,1978
All For The Love Of Rock & Roll,Tuff Darts,1978
All Mixed Up,The Cars,1978
All The Children Sing,Todd Rundgren,1978
"Another Girl, Another Planet",The Only Ones,1978
Anytime,Journey,1978
Are You Receiving Me?,XTC,1978
Artists Only,Talking Heads,1978
Atomic Bomb,William Onyeabor,1978
August Day,Hall & Oates,1978
B.A.B.Y.,Rachel Sweet,1978
Baby Stop Crying,Bob Dylan,1978
Baby's A Rock N' Roller,Tom Petty & The Heartbreakers,1978
Bad Case of Loving You,Moon Martin,1978
Bad Penny,Rory Gallagher,1978
Badlands,Bruce Springsteen,1978
Baker Street,Gerry Rafferty,1978
Battery Brides,XTC,1978
Beast Of Burden,The Rolling Stones,1978
Because The Night,Patti Smith,1978
Before the Next Teardrop Falls,Freddy Fender,1978
Before They Make Me Run,The Rolling Stones,1978
Best Of Both Worlds,Robert Palmer,1978
"Better By You, Better Than Me",Judas Priest,1978
Bicycle Race,Queen,1978
Big Bad Bill Is Sweet William Now,Ry Cooder,1978
Blame It On The Boogie,The Jacksons,1978
Blondes Have More Fun,Rod Stewart,1978
"Blue Morning, Blue Day",Foreigner,1978
Blue Skies,Willie Nelson,1978
Bombs Away,Bob Weir,1978
Boogie Ooogie Oogie,A Taste Of Honey,1978
Boogie Till You Puke,Root Boy Slim & The Sex Change Band,1978
Bootzilla,Bootsy Collins,1978
Boredom,Magazine,1978
Born In The 50's,The Police,1978
Boxcars,Joe Ely,1978
Bright Moments,Lonnie Liston Smith,1978
Brown Eyes,Axis,1978
Bruised Orange,John Prine,1978
Buick 48,Jools Holland,1978
Burn It Down,Suicide Commandos,1978
Bush Doctor,Peter Tosh,1978
Bye Bye Love,The Cars,1978
California Man,Cheap Trick,1978
California Uber Alles,Dead Kennedys,1978
Can We Still Be Friends,Todd Rundgren,1978
Candy's Room,Bruce Springsteen,1978
Can't Stand Losing You,The Police,1978
Caravan,The Band,1978
