Title,Artist,Year
Accidents Will Happen,Elvis Costello,1979
After Last Night,The A's,1979
After The Love Has Gone,Earth Wind & Fire,1979
Ain't No Stoppin' Us Now,McFadden & Whitehead,1979
Airlane,Gary Numan,1979
All My Love,Led Zeppelin,1979
Alternative Ulster,Stiff Little Fingers,1979
Amanda,Waylon Jennings,1979
American Squirm,Nick Lowe,1979
Angel Eyes,Roxy Music,1979
Another Brick In The Wall (Part 2),Pink Floyd,1979
Are Friends Electric?,Gary Numan & Tubeway Army,1979
Arrow Right Through Me,Wings,1979
At Home He's A Tourist,Gang Of Four,1979
Babe,Styx,1979
Back Of My Hand,The Jags,1979
Bad Girls,Donna Summer,1979
Bastard,Ian Hunter,1979
Bela Lugosi's Dead,Bauhaus,1979
Bell Boy,The Who,1979
"Big Kick, Plain Scrap!",Nick Lowe,1979
Blockhead,Devo,1979
Bored,Destroy All Monsters,1979
Born Fighter,Nick Lowe,1979
Boys Keep Swinging,David Bowie,1979
Brand New Cadillac,The Clash,1979
Breakfast In America,Supertramp,1979
Bright Side Of The Road,Van Morrison,1979
Bring On The Night,The Police,1979
Broken English,Marianne Faithfull,1979
Burn This Disco Out,Michael Jackson,1979
Bustin' Out (On Funk),Rick James,1979
Career Opportunites,The Clash,1979
Careering,Public Image Ltd.,1979
Carouselambra,Led Zeppelin,1979
Cars,Gary Numan,1979
Catch Me Now I'm Falling,The Kinks,1979
Century City,Tom Petty & The Heartbreakers,1979
Chase Me,Con Funk Shun,1979
Cheap Sunglasses,ZZ Top,1979
Children Of The Sun,Billy Thorpe,1979
Chuck E's In Love,Rickie Lee Jones,1979
Cities,Talking Heads,1979
Clampdown,The Clash,1979
Clash City Rockers,The Clash,1979
Cleveland Rocks,Ian Hunter,1979
Comfortably Numb,Pink Floyd,1979
Contort Yourself,James White And The Blacks,1979
Cool Change,Little River Band,1979
Cool For Cats,Squeeze,1979
Cracking Up,Nick Lowe,1979
Crawling From The Wreckage,Dave Edmunds,1979
Crazy Little Thing Called Love,Queen,1979
Crazy Love,The Allman Brothers,1979
Cruel To Be Kind,Nick Lowe,1979
Cruisin',Michael Nesmith,1979
Cruisin',Smokey Robinson,1979
Cut My Hair,The Who,1979
Damaged Goods,Gang Of Four,1979
Dance Away,Roxy Music,1979
Dance This Mess Around,B-52's,1979
Dancing Barefoot,Patti Smith,1979
Dancin' Fool,Frank Zappa,1979
Dangerous Type,The Cars,1979
