Title,Artist,Year
Blue Skies,Willie Nelson,1978
Blue Sky,The Allman Brothers,1972
Blue Suede Shoes,Carl Perkins,1974
Blue Suede Shoes,Elvis Presley,1956
Blue Telescope,John Hiatt,1993
Blueberry Hill,Fats Domino,1973
Bluebird,Buffalo Springfield,1967
Bluebird,Paul McCartney & Wings,1973
Blues Beach,Steely Dan,2003
Blues Go Walking,Greg Brown,2000
Blues Music,G Love & Special Sauce,1994
Blues Power,Eric Clapton,1970
Bo Diddley,Bo Diddley,1957
Bobby Jean,Bruce Springsteen,1984
Bodhisattva,Steely Dan,1973
Body Movin',Beastie Boys,1998
Bohemian Like You,The Dandy Warhols,2000
Bohemian Rhapsody,Queen,1975
Bold As Love,Jimi Hendrix,1967
Bonnie & Clyde,Serge Gainsbourg & Brigitte Bardot,1968
Bony Moronie,Larry Williams,1957
Boogie Chillen,John Lee Hooker,1988
Boogie Down,Eddie Kendricks,1974
Boogie Nights,Heatwave,1976
Boogie On Reggae Woman,Stevie Wonder,1974
Boogie With Stu,Led Zeppelin,1975
Book Of Days,Enya,1991
Book Of Rules,The Heptones,1973
Boom Boom,John Lee Hooker,1964
Boom Boom Mancini,Warren Zevon,1987
"Boom, Boom Out Goes The Light",Little Walter,1993
"Boom, Like That",Mark Knopfler,2004
Boombox,Mosquitos,2003
Border Radio,The Blasters,1982
Border Song,Elton John,1970
Border Town,The Souther-Hillman-Furay Band,1974
Borderline,Madonna,1983
Born At The Right Time,Paul Simon,1990
Born In Chicago,Paul Butterfield Blues Band,1965
Born In The USA,Bruce Springsteen,1985
Born On The Bayou,Creedence Clearwater Revival,1972
Born To Run,Bruce Springsteen,1975
Born Too Late,Steve Forbert,1992
Born Under A Bad Sign,Albert King,1967
Born Under Punches (the Heat Goes On),Talking Heads,1980
Bottle Of Blues,Beck,1998
Bottom of the River,Delta Rae,2011
Boulevard,Jackson Browne,1980
Bouncing Around The Room,Phish,1990
Bound For Glory,Tedeschi Trucks Band,2011
Bouree,Jethro Tull,1969
Box Full Of Letters,Wilco,1995
Box Of Rain,Grateful Dead,1970
Boy With A Coin,Iron And Wine,2007
Boyfriend,Best Coast,2010
Boys,The Beatles,1963
Boys Don't Cry,The Cure,1979
Boys in the Street,Greg Holden,2014
Brace For Impact,Sturgill Simpson,2016
Brand New Cadillac,The Clash,1979
Brand New Day,Sting,1999
Brand New Key,Melanie,1970
Brand New World,Black Uhuru,1994
Brass Buttons,Gram Parsons,1974
Brass In Pocket,The Pretenders,1979
Break On Through,The Doors,1967
Breakdown,Jack Johnson,2004
Breakdown,Tom Petty & The Heartbreakers,1976
Breakfast In America,Supertramp,1979
Breakfast In Bed,UB40,1988
Breaking Glass,David Bowie,1977
Breaking The Girl,Red Hot Chili Peppers,1991
Breaking Us In Two,Joe Jackson,1982
Breath and Burning,Phish,2016
Breathe Me,Sia,2004
Brick,Ben Folds Five,1994
Bright Lights,Gary Clark Jr.,2010
Bright Lights Big City,Jimmy Reed,1986
Bright Lit Blue Skies,Ariel Pink's Haunted Graffiti,2010
Bright Side Of The Road,Van Morrison,1979
Brill Bruisers,The New Pornographers,2014
Brilliant Disguise,Bruce Springsteen,1987
Brimful Of Asha,Cornershop,1997
Bring It On Home,Sonny Boy Williamson,1963
Bring It On Home To Me,Sam Cooke,1962
Bring Me Some Water,Koko Taylor,2000
Bring My Baby Back,Dr. Dog,2016
Broken Arrow,Buffalo Springfield,1967
Broken English,Marianne Faithfull,1979
Broken Heart,Dr. Dog,2013
Broken Hearted Savior,Big Head Todd & The Monsters,1993
Brother Louie,Stories,1988
Brown Eyed Girl,Van Morrison,1992
Brown Sugar,The Rolling Stones,1977
Bruised Orange,John Prine,1978
Bubble Toes,Jack Johnson,2000
Budapest,George Ezra,2013
Buddy Holly,Weezer,1994
Buddy X,Neneh Cherry,1992
Buena,Morphine,1993
Buffalo Soldier,Bob Marley & The Wailers,1983
Buffalo Stance,Neneh Cherry,1988
Build Me Up Buttercup,The Foundations,1985
Building A Mystery,Sarah McLachlan,1997
Bullet And A Target,Citizen Cope,2004
Bullet The Blue Sky,U2,1987
Bungle In The Jungle,Jethro Tull,1974
Burn Down The Mission,Elton John,1970
Burn The Witch,Radiohead,2016
Burned,Buffalo Springfield,1966
Burning Down The House,Talking Heads,1983
Burning Love,Elvis Presley,1972
Burning Photographs,Ryan Adams,2003
Bus Stop,The Hollies,1966
Business Time,Flight Of The Conchords,2006
Busted,Ray Charles,1963
