Artist,Title
The 8th Day,She's Not Just Another Woman
Cris Jacobs,Jack The Whistle And The Hammer
Frances Luke Accord,Tangled In Your Web
Conor Oberst,Mamah Borthwick (A Sketch)
Kadhja Bonet,Honeycomb
Fantastic Negrito,In The Pines
Lee Fields and The Expressions,Make This World
Mayer Hawthorne,Someone Like You
Lower Dens,Real Thing
Nick Murphy,Stop Me (Stop You)
Japandroids,Near to the Wild Heart of Life
Rag 'N' Bone Man,Human
Matt Pond Pa,Whoa
Jamestown Revival,Love Is A Burden
The Japanese House,Face Like Thunder
LP,Lost On You
The Shacks,Strange Boy
The Shins,Dead Alive
Jagwar Ma,Give Me A Reason
Roo Panes,Stay With Me
Roo Panes,The Original
Neil Young,Peace Trail
Bash & Pop,On The Rocks
Sylvan Esso,Radio
Foxygen,Follow The Leader
Nicole Atkins,A Little Crazy
Lo Moon,Loveless
Red Yarn,Magic Dance
Gustafer Yellowgold and the Pop Ups,Space Oddity
Nathalia,It's My Birthday
Justin Roberts,Dodgeball
Justin Roberts,Me And My Kangaroo
Justin Roberts,Long As I Got You
Lard Dog & the Band of Shy,Messed Up People Are Beautiful
Lard Dog & the Band of Shy,Belopio
Chibi Kodama,Boredinary
Chibi Kodama,Dragon at the Door
Chibi Kodama,STARDUST
Secret Agent 23: Skidoo,Secret Superhero
Secret Agent 23: Skidoo,Smardi Gras
Frances England,City Don't Sleep
Frances England,See What We Can See
The Cranberries,Ode To My Family
Van Morrison,Too Late
Shelby Lynne,Killin' Kind
Phish,Breath and Burning
Phish,Breath and Burning
Rag 'N' Bone Man,Human
Fleetwood Mac,Dreams
Roy Orbison,In Dreams
Frank Zappa,Cosmik Debris
Tom Waits,Step Right Up
David Bowie,Prettiest Star
Cheap Trick,Downed
Dawg Yawp,Lost At Sea
Supertramp,Take The Long Way Home
Foo Fighters,Everlong
The Flaming Lips,The Castle
The Pretenders,Holy Commotion
Todd Rundgren,All The Children Sing
Sting,I Can't Stop Thinking About You
Scott Fagan,In My Head
Michael Kiwanuka,Love & Hate
The Allman Brothers,Whipping Post
Van Halen,Jump
Meat Puppets,Backwater
The National,Mistaken For Strangers
The Kinks,Where Have All The Good Times Gone
The English Beat,Twist & Crawl
Fujiya & Miyagi,Outstripping (The Speed Of Light)
Steely Dan,Don't Take Me Alive
Norah Jones,Flipside
Blondie,Rapture
Red Hot Chili Peppers,Go Robot
The Beatles,I'm Only Sleeping
Brent Cobb,Solving Problems
Cowboy Junkies,Sweet Jane
REO Speedwagon,Roll With The Changes
Dawes,Roll With The Punches
Doyle Bramhall II,Mama Can't Help You
The Jayhawks,I'd Run Away
The Damned,Neat Neat Neat
Colvin & Earle,You're Right (I'm Wrong)
U2,I Will Follow
Lotus,Eats The Light
Alice In Chains,Heaven Beside You
Leonard Cohen,You Want It Darker
The White Stripes,We're Going To Be Friends
Hoots & Hellmouth,Diction
Dave Matthews Band,Ants Marching
Jethro Tull,Cross-eyed Mary
Kings Of Leon,Waste A Moment
Darlingside,1979
John Butler Trio,Zebra
Nick Waterhouse,Katchi
Black Rebel Motorcycle Club,Ain't No Easy Way
Paul Simon,Wristband
The J. Geils Band,Ain't Nothin' But A Houseparty
Joseph,SOS (Overboard)
Oasis,Wonderwall
Rag 'N' Bone Man,Human
Joni Mitchell,Refuge Of The Roads
Joni Mitchell,Cold Blue Steel And Sweet Fire
Joni Mitchell,Carey
Joni Mitchell,Off Night Backstreet
Joni Mitchell,Conversation
Joni Mitchell,Free Man In Paris
Joni Mitchell,Court & Spark
Lake Street Dive,Close to Me
The Rolling Stones,Just Your Fool
Indigo Girls,Get Out The Map
Lenny Kravitz,Believe
Solange,Cranes In The Sky
Bruce Springsteen,We Take Care Of Our Own
Phoenix,Entertainment
Sylvan Esso,Radio
Renaissance,Prologue
Renaissance,Carpet Of The Sun
Guster,Fa Fa
Michael Kiwanuka,One More Night
ABC,Poison Arrow
Jim James,Here In Spirit
Warpaint,New Song
ZZ Top,Jesus Just Left Chicago
Los Lobos,I Got Loaded
Phish,Breath and Burning
Sturgill Simpson,Brace For Impact
The Fabulous Thunderbirds,Wrap It Up
The Head And The Heart,Rhythm & Blues
Bob Marley & The Wailers,Three Little Birds
Pink Floyd,Comfortably Numb
Pat Benatar,You Better Run
Joe Walsh,Welcome To The Club
Fruit Bats,Humbug Mountain Song
Pearl Jam,Jeremy
Courtney Barnett,Dead Fox
Eric Clapton,Mainline Florida
Bell X1,The Great Defector
The Smithereens,Only A Memory
