Artist,Title
Phish,Breath and Burning
Bardo Pond,Await The Star (The Stars Behind)
Hound,Key Studio Session 11/08/16 (pt 2)
Hound,Key Studio Session 11/08/16 (pt 1)
Sheer Mag,Can't Stop Fighting
Screaming Females,Criminal Image
Trophy Wife,Body Camera
Ernest Stuart,We Can't Breathe
Common,A Letter To the Free
S.udan,Die Tonight
The Roots,My Shot (Rise Up Remix)
Hemming,All I Want
The War On Drugs,Under the Pressure
Dave Hause,The Shine
Henry H. Houston School & Live Connections,Neighborhood Struggles
American Babies,An Epic Battle Between Light and Dark
Kuf Knotz,Movement Red
Andrea Nardello,Fire
Todd Rundgren,"The Verb ""To Love"""
Amos Lee,A Change Is Gonna Come *
The Youngers,MORNING SUN
Jason Reed,Be a Part of This
John Beacher,Rise Up
Keb' Mo',A Brand New America
Fiorello! Cast,The Name's LaGuardia
Key Wilde & Mr. Clarke,King Of The Town
Jonathan Sprout,Carry On
Hot Peas 'n Butter,Put Our Heads Together
The Not-Its!,Washington D.C.
Two Of A Kind,We're All In This Together
Mood Swings,State Of Independence
Solange,Cranes In The Sky
Tom Petty,Don't Come Around Here No More
Van Morrison,Too Late
Paula Cole,Where Have All The Cowboys Gone
Paula Cole,Where Have All The Cowboys Gone
Gotye,Somebody That I Used to Know
Brent Cobb,Solving Problems
Led Zeppelin,Four Sticks
Led Zeppelin,Misty Mountain Hop
Led Zeppelin,Black Dog
Led Zeppelin,When The Levee Breaks
Norah Jones,Flipside
Soggy Bottom Boys,I Am A Man Of Constant Sorrow
Guided By Voices,Kid On A Ladder
Charles Mingus,Boogie Stop Shuffle
Sturgill Simpson,Brace For Impact
Urge Overkill,Sister Havana
Pearl Jam,Evenflow
Jim James,Here In Spirit
Widespread Panic,Pickin' Up The Pieces
The Lion's Paw,Love
The Snails,Basement
The Jesus And Mary Chain,Just Like Honey
Kings Of Leon,Waste A Moment
Rank & File,The Conductor Wore Black
The Isley Brothers,Work To Do
Redd Kross,Peach Kelli Pop
R. E. M.,Superman
Sting,I Can't Stop Thinking About You
Maggie Rogers,Alaska
Neil Young,Sedan Delivery
Beach Slang,Spin The Dial
Psychedelic Furs,Love My Way
Frank Ocean,Pink + White
Drive-By Truckers,What It Means
James Brown,Funky President
Slow Children,President Am I
The Replacements,Election Day
Canned Heat,On The Road Again
Chuck Prophet,Bad Year for Rock and Roll
Mudcrutch,Trailer
Eastmountainsouth,Rain Come Down
The Mellowells,Tiny Beds
Eric Clapton,Steady Rollin' Man
The Frightnrs,Nothing More To Say
The Rolling Stones,Hate To See You Go
Jim Boggia,Shine
Ginger Coyle,Rise Up
Calexico,Alone Again Or
Rachael Yamagata,Over
Otis Redding,I Can't Turn You Loose
Hope Sandoval & The Warm Inventions,Let Me Get There (feat. Kurt Vile)
Bob Mould,See A Little Light
Phish,Breath and Burning
Cliff Eberhardt,The Long Road
Dave Matthews Band,Mercy
Utopia,Love Is The Answer
The Pretenders,I'll Stand by You
Marc Broussard,Yes We Can
Johnny Nash,I Can See Clearly Now
Ingrid Michaelson,Be OK
John Lennon,Stand By Me
Carole King,Beautiful
Carole King,Beautiful
Mavis Staples,Have A Little Faith
Bill Withers,Lean On Me
The Shins,Dead Alive
Sly & The Family Stone,M'lady
Modest Mouse,Dashboard
The Avett Brothers,Ain't No Man
Bonnie Raitt,Angel From Montgomery
Bonnie Raitt,Too Long At The Fair
Bonnie Raitt,Blender Blues
Bonnie Raitt,Luck Of The Draw
Dawes,Roll With The Punches
Garland Jeffreys,R.o.c.k.
The Pretenders,Holy Commotion
Kyle Craft,Eye Of A Hurricane
Duran Duran,Hungry Like The Wolf
Mondo Cozmo,Shine
Loamlands,Little River
Belly,Gepetto
Bruce Hornsby & The Range,Every Little Kiss
Brent Cobb,Solving Problems
Andrew Lipke,Passing By
Young Gun Silver Fox,You Can Feel It
Elvis Costello,"(What's So Funny 'bout) Peace, Love & Understanding"
Regina Spektor,Bleeding Heart
Gary Jules,Mad World
Richie Havens,Hurricane Waters
Yes,America
Asgeir,King and Cross
Jack Johnson,Wasting Time
Duffy,Mercy
Coldplay,Clocks
Jerry Garcia,Cats Under The Stars
Roy Orbison,It's Over
Sam Cooke,A Change Is Gonna Come
Janelle Monae,Mr. President
Re-Flex,The Politics Of Dancing
Cream,Politician
Deee-Lite,"Vote, Baby, Vote"
Devo,Freedom Of Choice
James Brown,"Get Up, Get Into It, And Get Involved"
Bob Marley & The Wailers,"Get Up, Stand Up"
Alice Cooper,Elected
Chris Stamey with Yo La Tengo,V.O.T.E. (Public Service Announcement)
Radiohead,Electioneering
Sunnyland Slim,Be Careful How You Vote
Ella Fitzgerald with Chick Webb,Vote for Mr. Rhythm
Chicago,Vote for Me
Woody Guthrie & Arlo Guthrie,This Land Is Your Land
Lyle Lovett,Election Day
Aretha Franklin,Rock Steady (Alternative Mix)
Rag 'N' Bone Man,Human
Donavon Frankenreiter,Free
John Mayer,Waiting On The World To Change
Joseph,SOS (Overboard)
The Menzingers,Lookers
Lou Reed,Vicious
Parquet Courts,Berlin Got Blurry
Neil Young,Peace Trail
Kings Of Leon,Waste A Moment
Nick Waterhouse,Katchi
Darlingside,1979
Rickie Lee Jones,Chuck E's In Love
My Morning Jacket,Big Decisions
Jim James,Here In Spirit
