Artist,Title
Compulsive Gamblers,Stop And Think It Over
Clear Plastic Masks,Get Around
Deep Sea Diver,Wide Awake
Orange Juice,What Presence?!
Hooton Tennis Club,Katy-Anne Bellis
Steve Gunn,Heavy Sails
The New Pornographers,Silver Jenny Dollar
Mark Sultan,Rock Me
Diarrhea Planet,Hot Topic
Diarrhea Planet,Bob Dylan's Grandma
Diarrhea Planet,Hard Style 2
Warehouse,Simultaneous Contrasts
Ought,Celebration
Flasher,Erase Myself
Black Lips,Mr. Driver
Savoy Motel,Sorry People
Solange,Cranes In The Sky
Rachael Yamagata,Over
Dr. Dog,Shadow People
Maggie Rogers,Alaska
Honus Honus,Oh No!
Bruce Springsteen,No Surrender
Bruce Springsteen,No Surrender
"10,000 Maniacs",Trouble Me
Norah Jones,Flipside
Ray Lamontagne,Three More Days
Ray Lamontagne,Three More Days
Counting Crows,Round Here
Mondo Cozmo,Shine
The Avett Brothers,Ain't No Man
Sam Phillips,Baby I Can't Please You
B-52's,Roam
The Drifters,There Goes My Baby
Lotus,Eats The Light
Ben Harper,With My Own Two Hands
The Head And The Heart,Rhythm & Blues
Warpaint,New Song
Emeli Sande,Next to Me
Queen,Crazy Little Thing Called Love
Joseph,SOS (Overboard)
Car Seat Headrest,Vincent
Car Seat Headrest,Vincent
Heartless Bastards,The Mountain
The Flaming Lips,The Castle
Leonard Cohen,You Want It Darker
Arcade Fire,No Cars Go
U2,With Or Without You
The Isley Brothers,Harvest For The World
James Brown,Funky President
Bob Marley & The Wailers,War / No More Trouble
Stevie Wonder,Living For The City
Archie Bell & The Drells,Tighten Up
Edwin Starr,War
Brothers Johnson,Get The Funk Out Ma Face
The Young Rascals,People Got To Be Free
War,Why Can't We Be Friends?
Stevie Wonder,"Signed, Sealed, Delivered I'm Yours"
Betty Wright,Clean Up Woman
Jean Knight,Mr. Big Stuff
Charles Wright & The Watts 103rd Street Rhythm Band,Express Yourself
Sly & The Family Stone,Everyday People
Robert Palmer,Every Kind Of People
The O'Jays,For The Love Of Money
Sam Smith,Money On My Mind
Simply Red,Money's Too Tight
Grandmaster Flash & The Furious 5,The Message
Neville Brothers,Ball Of Confusion
Funkadelic,One Nation Under A Groove
Aretha Franklin,Spirit In The Dark
Curtis Mayfield,We Got To Have Peace
Marvin Gaye,What's Going On
Stevie Wonder,You Haven't Done Nothin'
James Brown,Living In America
The Honeycombs,Have I The Right
Nada Surf,Whose Authority
Phantogram,Fall in Love
Liz Longley,Weightless
Dawes,When the Tequila Runs Out
Michael Franti & Spearhead,Say Hey (I Love You)
The Shins,Dead Alive
King Crimson,21st Century Schizoid Man
Drive-By Truckers,What It Means
The Rolling Stones,Hate To See You Go
G Love & Special Sauce,Rodeo Clowns
Red Hot Chili Peppers,Dark Necessities
New Radicals,You Get What You Give
Old 97's,Every Night Is Friday Night (Without You)
Fountains Of Wayne,Stacy's Mom
The Marcus King Band,Ain't Nothing Wrong With That
Gregg Allman,Midnight Rider
Brent Cobb,Solving Problems
Maktub,You Can't Hide
The Hooters,All You Zombies
Henry H. Houston School & Live Connections,Dance Like No One's Watching
Lucinda Williams,Joy
Norah Jones,Flipside
Soul Survivors,Expressway To Your Heart
Stan Ridgway,Lonely Town
Valerie June,Astral Plane
The Pretenders,Holy Commotion
Lily Allen,Smile
Fujiya & Miyagi,Outstripping (The Speed Of Light)
Josh Ritter,Where The Night Goes
Jagwar Ma,Give Me A Reason
John Hiatt,Real Fine Love
Stevie Wonder,Higher Ground
Pink Floyd,Another Brick In The Wall (Part 2)
The Shins,Dead Alive
The Mighty Mighty Bosstones,The Impression That I Get
Purling Hiss,Fever
The Revivalists,Wish I Knew You
The Revivalists,Keep Going
Fastball,The Way
Hamilton Leithauser + Rostam,A 1000 Times
Cream,I Feel Free
Moby,Why Does My Heart Feel So Bad?
Frank Ocean,Pink + White
Young Gun Silver Fox,You Can Feel It
Stevie Ray Vaughan,Pride And Joy
Hope Sandoval & The Warm Inventions,Let Me Get There (feat. Kurt Vile)
The Avett Brothers,I And Love and You
Leonard Cohen,You Want It Darker
Arthur Conley,Sweet Soul Music
Shemekia Copeland,Who Stole My Radio?
Rush,Closer To The Heart
The Black Keys,Next Girl
David Berkeley,Colored Birds
Genesis,Eleventh Earl Of Mar
Jim James,Here In Spirit
Jackson Browne,That Girl Could Sing
Everything But The Girl,Driving
Joe Bonamassa,Dust Bowl
The Beach Boys,God Only Knows
The Beach Boys,Wouldn't It Be Nice
Elvis Presley,Hound Dog
Elvis Presley,Don't Be Cruel
Carole King,It's Too Late
Carole King,I Feel The Earth Move
The Monkees,(I'm Not Your) Steppin' Stone
The Monkees,I'm A Believer
Buddy Holly,Not Fade Away
Buddy Holly,Oh Boy!
Sam Cooke,Bring It On Home To Me
Sam Cooke,Having A Party
The Rolling Stones,Let's Spend The Night Together
The Rolling Stones,Ruby Tuesday
The Beatles,I Saw Her Standing There
The Beatles,I Want To Hold Your Hand
Aretha Franklin,Rock Steady
Aretha Franklin,Oh Me Oh My (I'm A Fool For You Baby)
Queen,We Will Rock You / We Are The Champions
Low Cut Connie,Jump Into The Fire
Red Hot Chili Peppers,Go Robot
Jackie Wilson,Reet Petite (Finest Girl You Ever Wanna Meet)
Lee Fields and The Expressions,Special Night (Part 1 & 2)
Solange,Cranes In The Sky
The Airborne Toxic Event,Sometime Around Midnight
Gov't Mule,Soulshine
Sting,I Can't Stop Thinking About You
The Head And The Heart,Rhythm & Blues
Norah Jones,Flipside
Doyle Bramhall II,Mama Can't Help You
Eric Krasno,On The Rise
Sturgill Simpson,Brace For Impact
Loamlands,Little River
The Band,Helpless
Mondo Cozmo,Shine
Rachael Yamagata,Over
Grant Lee Phillips,Cry Cry
Delta Spirit,Trashcan
The Raveonettes,Love In A Trashcan
The Growlers,I'll Be Around
Squeeze,Take Me I'm Yours
The Shins,Dead Alive
Warpaint,New Song
Tom Tom Club,Genius Of Love
The Avett Brothers,Another Is Waiting
Joseph,SOS (Overboard)
David Bowie,The Width Of A Circle
Jim James,Same Old Lie
Brent Cobb,Solving Problems
Ryan Adams,Bad Blood
Smashing Pumpkins,Thirty Three
Darlingside,1979
The Hombres,Let It Out (let It All Hang Out)
Delbert McClinton,Too Much Stuff
The Rolling Stones,Just Your Fool
Fujiya & Miyagi,Outstripping (The Speed Of Light)
The Cars,Let's Go
Mudcrutch,Trailer
Marc Broussard,Home
Amos Lee,Running Out Of Time
Edie Brickell & The New Bohemians,What I Am
Jurassic 5,Work It Out
Phish,Breath and Burning
Grateful Dead,Dancin' In The Streets
Hurry,Fascination
The Replacements,Bastards Of Young
Fishbone,Everyday Sunshine
Nick Waterhouse,Katchi
The Main Ingredient,Just Don't Want To Be Lonely
Fitz & The Tantrums,MoneyGrabber
The Flaming Lips,The Castle
Radiohead,Burn The Witch
Fleetwood Mac,Go Your Own Way
Hope Sandoval & The Warm Inventions,Let Me Get There (feat. Kurt Vile)
Tim Buckley,Strange Feelin
Bob Weir,Only A River
Dixie Hummingbirds,Personal Jesus
Paul Simon,Wristband
Car Seat Headrest,Drunk Drivers/Killer Whales
Kings Of Leon,Waste A Moment
Frank Ocean,Pink + White
Dr. John,Revolution
The Frightnrs,Nothing More To Say
Honus Honus,Oh No!
The The,Uncertain Smile
Drive-By Truckers,What It Means
Nouvelle Vague,Ever Fallen In Love?
The Kinks,You Really Got Me
Lake Street Dive,Close to Me
Television,Marquee Moon
The Waterboys,How Long Will I Love You
Elvis Presley,Mystery Train
Elvis Presley,Mystery Train
Johnny Cash,Ring of Fire
Ian Dury & The Blockheads,Sex & Drugs & Rock & Roll
Michael Kiwanuka,One More Night
Dave Mason,"Let It Go, Let It Flow"
Spoon,Do You
Sting,I Can't Stop Thinking About You
Soul Asylum,Runaway Train
Lydia Loveless,Longer
Beck,Dreams
Jim James,Here In Spirit
The Upsetters,Return Of Django
Bela Fleck,"""prelude"" From Partita No. 3 For Solo Violin"
