Artist,Title
Trudy Lynn,Black Night
Sam Taylor,I Want My Lovin' Back
Lightnin' Hopkins,Coffee Blues
Charley Patton,Elder Green Blues
Billy Seward,Strange How I Miss You
Shemekia Copeland,Cardboard Box
Vaneese Thomas,Lonely No More
Mr. Sipp,Jackpot
Annika Chambers,Six Nights And A Day
Bobby Rush,Got Me Accused
Jimmy Thackery & The Drivers,Blues All Night
Lil' Ed & The Blues Imperials,Poor Man's Song
Dr. John,Stack-A-Lee
Toronzo Cannon,Walk It Off
Vasti Jackson,My Computer
Catherine Russell,Let Me Be The First To Know
Ronnie Earl & The Broadcasters,Double Trouble
Skip James,Illinois Blues
Kat Riggins,Good Girl Blues
Rory Block,PANAMA LIMITED
Junior Wells,I Could Cry
Big Head Blues Club,You Need Love
Mississippi Heat,Don't Mess Up A Good Thing
Muddy Waters,Got My Mojo Workin' (Part II)
Bobby Rush,Me Myself And I
Teresa James & The Rhythm Tramps,What Happens In Vegas
Bobby Parker,Blues Get Off My Shoulder
Mighty Sam McClain,Time And Change
Memphis Minnie,I'm Talking About You
Willie Mabon,Going To Get You
Sugar Ray and The Bluetones,Noontime Bell
"Kenny ""Blues Boss"" Wayne",Look Out! There's A Train Coming
Lil' Ed & The Blues Imperials,Troubled World
Curtis Salgado,She Didn't Cut Me Loose
Vaneese Thomas,The More Things Change
Barbara Dennerlein,Black And White
B. B. King,Fishin' After Me (Catfish Blues)
Trudy Lynn,Through Chasin' You
Little Mike,How Long
Lou Rawls,Tobacco Road
JJ Thames,I'm Leavin'
Dogtown Blues Band,Everyday I Have The Blues
John Lee Hooker,I'm Bad Like Jesse James
Murali Coryell,My Pedal Board
Big Bill Broonzy,I Can't Be Satisfied
Little Walter,Off The Wall
Joey Gilmore Band,This Time I'm Gone For Good
Lucky Peterson,Statesboro Blues
Lady A,Take Me Back To Seattle
The Fabulous Thunderbirds,Strong Like That
Jimi Hendrix,Izabella
Tas Cru,Tired Of Bluesmen Cryin'
Duke Robillard & His All-Star Combo,Last Night
Lurrie Bell,Blues Is Trying To Keep Up With Me
Howlin' Wolf,Killing Floor
Mississippi John Hurt,Make Me A Pallet On Your Floor
Rory Block,Fixin' To Die Blues
Big Head Blues Club,I Want To Be Loved
Bobby Rush,Snake In The Grass
Mississippi Heat,Life Is Too Short
John N?meth,Blues In My Heart
Trudy Lynn,Down On Bended Knee
Lil' Ed & The Blues Imperials,I Like My Hot Sauce Cold
Frank Sinatra,A Fool To Want You
Frank Sinatra,A Fool To Want You
The Flamingos,I Only Have Eyes For You
The Bronx Wanderers,I Only Have Eyes For You
Frankie Lane,That Lucky Old Sun
Ray Charles,That Lucky Old Sun
Frank Sinatra,That Lucky Old Sun
The Crystal Mansion,The Thought Of Loving You
Manhattan Transfer,The Thought Of Loving You
The Chantels,Confessing That I Love You
The Uniques,Confessing That I Love You
The Three Degrees,Look In My Eyes
The Chantels,Look In My Eyes
Johnny Maestro,I'll Be True
The Orlons,I'll Be True
The Beach Boys,So Young
The Students,So Young
Ronnie Spector,So Young
The Chantels,Would You Believe Me
The Skyliners,Would You Believe Me
The Skyliners,Since I Don't Have You
The Four Seasons,Since I Don't Have You
Spiral Staircase,Since I Don't Have You
The xx,On Hold
Kurt Vile,Baby's Arms
case/lang/veirs,Best Kept Secret
Dawes,When My Time Comes
The Mamas & The Papas,Safe In My Garden
Jim James,Same Old Lie
The White Stripes,I'm Slowly Turning Into You
Robyn Hitchcock,The Ghost In You
Weyes Blood,Do You Need My Love
Leonard Cohen,"So Long, Marianne"
Echo & The Bunnymen,The Killing Moon
Quilt,Roller
Nick Cave & The Bad Seeds,Henry Lee
Fleetwood Mac,Tusk
The Jam,A Town Called Malice
X,The New World
Smokey Robinson & The Miracles,I Second That Emotion
Grateful Dead,Touch Of Grey
The Philadelphia Orchestra,Clair De Lune
Old 97's,Barrier Reef
Man Man,Head On
Funkadelic,Can You Get to That
The Everly Brothers,All I Have To Do Is Dream
Beth Orton,Ooh Child
Iggy Pop,Gardenia
Aretha Franklin,Until You Come Back To Me (That's What I'm Gonna Do)
World Party,Ship Of Fools
