Artist,Title
Leonard Cohen,Hallelujah
Leonard Cohen,A Singer Must Die
Leonard Cohen,"Hey, That's No Way To Say Goodbye"
Leonard Cohen,Slow
Leonard Cohen,I'm Your Man
Leonard Cohen,Democracy
Leonard Cohen,Lover Lover Lover
Leonard Cohen,Sisters Of Mercy
Leonard Cohen,Tower of Song
Leonard Cohen,Chelsea Hotel No. 2
Leonard Cohen,Almost Like The Blues
Leonard Cohen,Famous Blue Raincoat
Leonard Cohen,Who By Fire
Leonard Cohen,True Loves Leaves No Traces
Leonard Cohen,Suzanne
Leonard Cohen,Bird On A Wire
Leonard Cohen,First We Take Manhattan
Leonard Cohen,Closing Time
Leonard Cohen,"So Long, Marianne"
Leonard Cohen,You Want It Darker
Son Volt,Tear Stained Eye
Bob Weir,Only A River
Kings Of Leon,Waste A Moment
Spoon,Do You
U2,Two Hearts Beat As One
Travis,Why Does It Always Rain On Me
Nik Greeley & The Operators,Stars
Mondo Cozmo,Shine
Iron And Wine,Boy With A Coin
Solange,Cranes In The Sky
Van Morrison,Too Late
Delta Rae,Bottom of the River
Gin Blossoms,Allison Road
Amanda Shires,When You're Gone
Radiohead,Burn The Witch
Stan Ridgway,Drive She Said
Fujiya & Miyagi,Outstripping (The Speed Of Light)
The Pretenders,Holy Commotion
The Decemberists,Down By The Water
Patti Smith,People Have The Power
Spiral Up Kids,Mama Don't Allow
Weird Al Yankovic,I Think I'm A Clone Now
Hayley Mills,Let's Get Together
Duke Otherwise,Nose & Ears
Sara Hickman,Pink On The Inside
The Korn Kobblers,I'm My Own Grandpa
Josh & The Jamtones,I 
Baze And His Silly Friends,This Is Your Body
Oasis,Rock N Roll Star
Whitney,No Matter Where We Go
Middle Kids,Your Love
New Radicals,Mother We Just Can't Get Enough
Nick Waterhouse,Katchi
T-Bone Burnett,Humans From Earth
Rag 'N' Bone Man,Human
Dead Boys,Hey Little Girl
The Dickies,Nights In White Satin
The Buzzcocks,E.S.P.
Ian Dury & The Blockheads,Clever Trever
Leonard Cohen,You Want It Darker
Bruce Springsteen,Darkness On The Edge Of Town
The Blasters,Dark Night
Alvvays,"Archie, Marry Me"
Stevie Wonder,If You Really Love Me
Frank Ocean,Pink + White
Brent Cobb,Solving Problems
Herb Alpert & The Tijuana Brass,A Taste of Honey
Foxygen,Follow The Leader
Big Dipper,Ron Klaus Wrecked His House
Volcano Suns,Jak
Pete Donnelly,"""John's Dollar Bin"" intro"
The Black Crowes,Remedy
The Everly Brothers,Cathy's Clown
Marah,Poor People
Marah,Poor People
The Proclaimers,I'm Gonna Be (500 Miles)
Arcade Fire,Keep The Car Running
Purling Hiss,Fever
Dawg Yawp,Lost At Sea
Jethro Tull,Mother Goose
Joseph,SOS (Overboard)
The Breeders,Cannonball
Jim James,Here In Spirit
Grateful Dead,Cumberland Blues
The Specials,Ghost Town
Phish,Breath and Burning
Elvis Costello,Man Out Of Time
Husker Du,Hate Paper Doll
Bonnie Raitt,Good Enough
The Head And The Heart,Rhythm & Blues
Darlingside,1979
Smashing Pumpkins,Drown
Suburban Living,Once/Twice
Kings Of Leon,Waste A Moment
Bruce Springsteen,Badlands
Del Amitri,Not Where It's At
Hurry,Fascination
Dr. Dog,Broken Heart
Norah Jones,Flipside
Mondo Cozmo,Shine
Grace Potter And The Nocturnals,Never Go Back
The Record Company,Rita Mae Young
Sting,I Can't Stop Thinking About You
New Order,Temptation
Warpaint,New Song
