Artist,Title
Peter Bjorn And John,Second Chance
Youth Lagoon,Through The Mind And Back
Childish Gambino,Me And Your Mama
Roo Panes,Stay With Me
Lo Moon,Loveless
Sam Evian,Sleep Easy
Foxygen,Follow The Leader
Landlady,Electric Abdomen
Nick Murphy,Stop Me (Stop You)
Sting,"50,000"
Justin Peter Kinkel-Schuster,Headed South
Neil Young,Peace Trail
Elephant Stone,Manipulator
Georgie,Company of Thieves
The Sh-Booms,Usage Fee
Kadhja Bonet,Honeycomb
A Tribe Called Quest,Movin Backwards
Frances Luke Accord,Tangled In Your Web
Frances Luke Accord,Something Moving
Milky Chance,Cocoon
Streets of Laredo,Silly Bones
Rag 'N' Bone Man,Human
Bash & Pop,On The Rocks
Chuck Prophet,Bad Year for Rock and Roll
Sampha,Timmy's Prayer
The xx,On Hold
Ants On A Log,Some Girls
Ants On A Log,Spider-Man
Ants On A Log,Pickles and Olives
Jason Didner & The Jungle Gym Jam,Free To Be... You And Me
Baze And His Silly Friends,My Family
Miss Nina,Colors of You
Lucy Kalantari,Balloon
Billy Kelly,Put A Little Love In Your Heart
Sally Rogers,What Can One Little Person Do?
Laura Veirs,Soldier's Joy
TED LEO,Heroes
Secret Agent 23: Skidoo,Secret Superhero
Trout Fishing In America,Baby's Got The Car Keys
Jazzy Ash,Every Family's Different
Hullabaloo,"Blah, Blah, Blah"
Grenadilla,The Family Song
Vivi Melody & Family,The Thing I Love Most
Jonatha Brooke,How Deep Is Your Love?
Frank Ocean,Pink + White
Gary Clark Jr.,Don't Owe You A Thang
Parquet Courts,"One Man, No City"
Chuck Prophet,Bad Year for Rock and Roll
The Dean Ween Group,Mercedes Benz
Willie Alexander And The Boom Boom Band,Radio Heart
David Johansen,Cool Metro
Leon Russell,Stranger In A Strange Land
Leon Russell,Shoot Out On The Plantation
Leon Russell,Out In The Woods
The Shins,Dead Alive
Jimmy Cliff,Reggae Music
Soft Cell,Tainted Love
Loamlands,Little River
Kings Of Leon,Waste A Moment
Creedence Clearwater Revival,Who'll Stop The Rain
Neil Young,Peace Trail
Pink Floyd,Money
Purling Hiss,Fever
The Babys,Midnight Rendezvous
Bash & Pop,On The Rocks
North Mississippi Allstars,Eyes
The Avett Brothers,Kick Drum Heart
The Beach Boys,God Only Knows
Oasis,Wonderwall
The Replacements,Bastards Of Young
R. E. M.,Fall On Me
Aaron Lee Tasjan,Little Movies
Rod Stewart,What Made Milwaukee Famous
Brent Cobb,Solving Problems
K. T. Tunstall,Hold On
The xx,On Hold
The Passions,I'm In Love With A German Film Star
Rickie Lee Jones,Satellites
Michael Kiwanuka,Love & Hate
Warpaint,New Song
Mayer Hawthorne,Someone Like You
James Brown,Make It Funky
U2,New Years Day
The Sundays,Goodbye
Rag 'N' Bone Man,Human
Matthew Sweet,Divine Intervention
The Rolling Stones,Just Your Fool
Chris Isaak,Wicked Game
Lily Mae,Closer
The Black Keys,Gotta Get Away
The Growlers,I'll Be Around
Led Zeppelin,All My Love
The Pretenders,Holy Commotion
Hayes Carll,Bad Liver And A Broken Heart
Darlingside,Go Back
Amos Lee,Running Out Of Time
The Cars,Drive
Chuck Prophet,Bad Year for Rock and Roll
Fleet Foxes,The Cascades
Dave Matthews Band,#34
Kaki King,Doing The Wrong Thing
The Allman Brothers,In Memory Of Elizabeth Reed
Pat Metheny Group,Last Train Home
Dante Bucci,Reminiscence
Calexico,Crystal Frontier (Buscemi Instrumental)
Phish,Breath and Burning
Sturgill Simpson,Brace For Impact
Semisonic,Chemistry
Florence And The Machine,Dog Days Are Over
Milky Chance,Cocoon
Soul Asylum,Sexual Healing
Sarah McLachlan,Drawn To The Rhythm
The Frightnrs,Nothing More To Say
Sting,If I Ever Lose My Faith In You
Sting,"50,000"
Beck,Girl
Paul Simon,Wristband
Mondo Cozmo,Shine
Graham Parker,Passion Is No Ordinary Word
The Head And The Heart,Rhythm & Blues
Crosby & Nash,Carry Me
Bonnie Raitt,Papa Come Quick
The Menzingers,Lookers
Kings Of Leon,Waste A Moment
Lake Street Dive,Close to Me
Warpaint,New Song
Tom Petty,Wildflowers
The Allman Brothers,Come And Go Blues
Ziggy Marley,Tomorrow People
Patty Griffin,Heavenly Day
Leon Russell,Back To The Island
Mark Ronson feat. Amy Winehouse,Valerie
Tower Of Power,What Is Hip
Tower Of Power,What Is Hip
Rufus Wainwright,Hallelujah
Shawn Colvin,Steady On
Dire Straits,Once Upon A Time In The West
Fine Young Cannibals,Johnny Come Home
Leonard Cohen,You Want It Darker
Neil Young,Peace Trail
Bruce Springsteen,It's Hard To Be A Saint In The City
Hope Sandoval & The Warm Inventions,Let Me Get There (feat. Kurt Vile)
Brent Cobb,Solving Problems
Jack Johnson,Upside Down
Ben Howard,Keep Your Head Up
George Benson,This Masquerade
Kate Bush,Hounds Of Love
Band Of Horses,Casual Party
Fujiya & Miyagi,Outstripping (The Speed Of Light)
Solange,Cranes In The Sky
John Mayer,Belief
Darlingside,1979
