Artist,Title,Air Time
Madness,House Of Fun,2018-12-01 23:56:00
Psychedelic Furs,House,2018-12-01 23:51:00
Squeeze,Hourglass,2018-12-01 23:46:00
Kate Bush,Hounds Of Love,2018-12-01 23:43:00
John Lennon,Hound Dog,2018-12-01 23:40:00
General Public,Hot You're Cool,2018-12-01 23:35:00
Billy Idol,Hot In The City,2018-12-01 23:32:00
The Cure,Hot Hot Hot!!!,2018-12-01 23:28:00
Buster Poindexter,Hot Hot Hot,2018-12-01 23:24:00
Loverboy,Hot Girls In Love,2018-12-01 23:20:00
Van Halen,Hot For Teacher,2018-12-01 23:14:00
Bob Seger & The Silver Bullet Band,Horizontal Bop,2018-12-01 23:10:00
The Pogues,Honky Tonk Woman,2018-12-01 23:06:00
Dwight Yoakam,Honky Tonk Man,2018-12-01 23:03:00
Pete Shelley,Homosapien,2018-12-01 23:00:00
Paul Simon,Homeless,2018-12-01 22:56:00
Kraftwerk,Home Computer,2018-12-01 22:48:00
Genesis,Home By The Sea,2018-12-01 22:43:00
Nelcy Sedibe,Holotelani,2018-12-01 22:39:00
Red Hot Chili Peppers,Hollywood,2018-12-01 22:30:00
Bauhaus,Hollow Hills,2018-12-01 22:26:00
Lindsey Buckingham,Holiday Road,2018-12-01 22:22:00
Nazareth,Holiday,2018-12-01 22:18:00
Madonna,Holiday,2018-12-01 22:15:00
Sam Phillips,Holding On To The Earth,2018-12-01 22:10:00
Simply Red,Holding Back The Years,2018-12-01 22:05:00
Jackson Browne,Hold Out,2018-12-01 21:59:00
Richard Marx,Hold On To The Nights,2018-12-01 21:54:00
Jon Anderson,Hold On To Love,2018-12-01 21:47:00
Yes,Hold On,2018-12-01 21:42:00
The Replacements,Hold My Life,2018-12-01 21:36:00
The Thompson Twins,Hold Me Now,2018-12-01 21:31:00
Fleetwood Mac,Hold Me,2018-12-01 21:28:00
Beastie Boys,"Hold It Now, Hit It",2018-12-01 21:23:00
Jane Siberry,Hockey,2018-12-01 21:19:00
The Clash,Hitsville U.k.,2018-12-01 21:15:00
Pat Benatar,Hit Me With Your Best Shot,2018-12-01 21:12:00
