Artist,Title,Air Time
Donnie Iris,Ah! Leah!,2020-12-10 23:56:00
Creedence Clearwater Revival,Susie Q,2020-12-10 23:46:00
Bob Marley & The Wailers,Natural Mystic,2020-12-10 23:43:00
The Moody Blues,You And Me,2020-12-10 23:38:00
Tom Petty,Into The Great Wide Open,2020-12-10 23:34:00
Ben Folds,Landed,2020-12-10 23:30:00
Gladys Knight & the Pips,Neither One Of Us (Wants To Be The First To Say Goodbye),2020-12-10 23:25:00
Smokey Robinson & The Miracles,You've Really Got A Hold On Me,2020-12-10 23:20:00
Patty Griffin,Rain,2020-12-10 23:16:00
Childish Gambino,Redbone,2020-12-10 23:12:00
Billie Holiday,Stormy Weather,2020-12-10 23:07:00
Manfred Mann,Blinded By The Light,2020-12-10 23:00:00
Laura Nyro,I Am The Blues,2020-12-10 22:54:00
MC5,Kick Out The Jams,2020-12-10 22:51:00
Trey Anastasio,Drift While You're Sleeping,2020-12-10 22:39:00
The Beach Boys,"Help Me, Rhonda",2020-12-10 22:35:00
The Beatles,Nowhere Man,2020-12-10 22:33:00
Fats Domino,Walkin' To New Orleans,2020-12-10 22:29:00
Stone Temple Pilots,Plush,2020-12-10 22:24:00
Charles Bradley,Changes,2020-12-10 22:19:00
George Harrison,Wah-Wah,2020-12-10 22:13:00
Modest Mouse,Baby Blue Sedan,2020-12-10 22:08:00
Judy Collins,In My Life,2020-12-10 22:05:00
Billy Joel,The Stranger,2020-12-10 22:00:00
Matisyahu,One Day,2020-12-10 21:56:00
Bruce Springsteen,Adam Raised A Cain,2020-12-10 21:49:00
Leonard Cohen,Joan of Arc,2020-12-10 21:42:00
Eminem,Stan (feat. Dido),2020-12-10 21:35:00
Pink Floyd,See Emily Play,2020-12-10 21:32:00
U2,The Unforgettable Fire,2020-12-10 21:27:00
Mark Knopfler,What It Is,2020-12-10 21:21:00
M83,Midnight City,2020-12-10 21:17:00
Smashing Pumpkins,Thirty Three,2020-12-10 21:13:00
Bruce Cockburn,Lovers In A Dangerous Time,2020-12-10 21:06:00
The Velvet Underground,Venus In Furs,2020-12-10 21:01:00
Foo Fighters,My Hero,2020-12-10 20:57:00
Leonard Cohen,The Future,2020-12-10 20:50:00
David Bowie,The Man Who Sold The World,2020-12-10 20:45:00
Live,Lightning Crashes,2020-12-10 20:40:00
Yo La Tengo,From A Motel 6,2020-12-10 20:34:00
Herbie Hancock,Watermelon Man,2020-12-10 20:28:00
The Beatles,Got To Get You Into My Life,2020-12-10 20:23:00
Kendrick Lamar,DNA,2020-12-10 20:20:00
Bruce Cockburn,Wondering Where The Lions Are,2020-12-10 20:16:00
Johnny Cash,A Boy Named Sue (live),2020-12-10 20:13:00
Muddy Waters,I Just Want To Make Love To You (1954),2020-12-10 20:10:00
Pearl Jam,Evenflow,2020-12-10 20:03:00
Sly & The Family Stone,If You Want Me To Stay,2020-12-10 20:00:00
The National,Slow Show,2020-12-10 19:56:00
Elton John,Honky Cat,2020-12-10 19:51:00
The Pretenders,Back On The Chain Gang,2020-12-10 19:46:00
The Count Five,Psychotic Reaction,2020-12-10 19:43:00
Vampire Weekend,A-Punk,2020-12-10 19:41:00
The White Stripes,My Doorbell,2020-12-10 19:36:00
Grateful Dead,I Know You Rider,2020-12-10 19:30:00
Sly & The Family Stone,I Want To Take You Higher,2020-12-10 19:25:00
Catherine Wheel,Black Metallic,2020-12-10 19:16:00
Supertramp,The Logical Song,2020-12-10 19:12:00
Steely Dan,Babylon Sisters,2020-12-10 19:04:00
Paul McCartney & Wings,Jet,2020-12-10 19:00:00
Santana,Evil Ways,2020-12-10 18:55:00
Bob Seger,Turn The Page,2020-12-10 18:48:00
The Airborne Toxic Event,Sometime Around Midnight,2020-12-10 18:43:00
David Sylvian,I Surrender,2020-12-10 18:33:00
Childish Gambino,This Is America,2020-12-10 18:29:00
Frank Ocean,Pyramids,2020-12-10 18:18:00
Morrissey,Everyday Is Like Sunday,2020-12-10 18:14:00
Lou Reed,Caroline Says I,2020-12-10 18:10:00
Marty Robbins,El Paso,2020-12-10 18:04:00
Genesis,Invisible Touch,2020-12-10 18:00:00
Elvis Costello,Man Out Of Time,2020-12-10 17:54:00
Jackson Browne,Take It Easy,2020-12-10 17:49:00
Jimi Hendrix,Third Stone From The Sun,2020-12-10 17:42:00
Pink Floyd,Learning To Fly,2020-12-10 17:36:00
The Allman Brothers,Statesboro Blues,2020-12-10 17:32:00
The Band,I Shall Be Released,2020-12-10 17:27:00
James Brown,Papa's Got A Brand New Bag,2020-12-10 17:25:00
The Rolling Stones,Shattered,2020-12-10 17:21:00
Bob Dylan,Murder Most Foul,2020-12-10 17:03:00
Warren Zevon,Johnny Strikes Up The Band,2020-12-10 17:00:00
Wilco,Misunderstood,2020-12-10 16:53:00
Al Green,Here I Am (Come And Take Me),2020-12-10 16:49:00
Aretha Franklin,Son Of A Preacherman,2020-12-10 16:45:00
The Avett Brothers,Murder in the City,2020-12-10 16:42:00
Massive Attack,Safe From Harm,2020-12-10 16:36:00
Pink Floyd,Have A Cigar,2020-12-10 16:31:00
Radiohead,There There,2020-12-10 16:25:00
R. E. M.,(Don't Go Back To) Rockville,2020-12-10 16:21:00
The Rolling Stones,Let's Spend The Night Together,2020-12-10 16:17:00
Sex Pistols,God Save The Queen,2020-12-10 16:14:00
The Shins,Simple Song,2020-12-10 16:08:00
Sly & The Family Stone,Stand,2020-12-10 16:05:00
Sting,Desert Rose,2020-12-10 16:00:00
Sugarcubes,Birthday,2020-12-10 15:56:00
Tim Buckley,Buzzin' Fly,2020-12-10 15:50:00
Tom Waits,Christmas Card From A Hooker In Minneapolis,2020-12-10 15:46:00
Toots & The Maytals,Reggae Got Soul,2020-12-10 15:43:00
Tracy Chapman,Talkin' Bout A Revolution,2020-12-10 15:39:00
Digable Planets,Rebirth Of Slick (Cool Like Dat),2020-12-10 15:35:00
Two Nice Girls,Sweet Jane (With Affection),2020-12-10 15:30:00
Aaron Neville,Tell It Like It Is,2020-12-10 15:27:00
AC/DC,You Shook Me All Night Long,2020-12-10 15:24:00
The Alan Parsons Project,I Robot,2020-12-10 15:18:00
Santana,Smooth,2020-12-10 15:13:00
Parliament,Give Up The Funk,2020-12-10 15:06:00
Harold Melvin & The Bluenotes,Wake Up Everybody,2020-12-10 15:02:00
Four Tops,Baby I Need Your Loving,2020-12-10 15:00:00
The Isley Brothers,It's Your Thing,2020-12-10 14:57:00
Kenny Rogers & The First Edition,"Ruby, Don't Take Your Love To Town",2020-12-10 14:54:00
Steve Winwood,Different Light,2020-12-10 14:49:00
Janet Jackson,Rhythm Nation,2020-12-10 14:44:00
Albert King,Born Under A Bad Sign,2020-12-10 14:40:00
The Hold Steady,Sequestered In Memphis,2020-12-10 14:35:00
The Alan Parsons Project,I Wouldn't Want To Be Like You,2020-12-10 14:32:00
Electric Light Orchestra,Do Ya,2020-12-10 14:28:00
Sigur Ros,Viorar Vel Til Loftarasa,2020-12-10 14:17:00
Teenage Fanclub,Everything Flows,2020-12-10 14:11:00
Edwin Starr,War,2020-12-10 14:08:00
Taj Mahal,Take A Giant Step,2020-12-10 14:03:00
Nazz,Open My Eyes,2020-12-10 14:00:00
Kurtis Blow,The Breaks,2020-12-10 13:56:00
Randy Newman,Louisiana 1927,2020-12-10 13:52:00
The Jesus And Mary Chain,Just Like Honey,2020-12-10 13:49:00
Michael McDonald,I Keep Forgettin',2020-12-10 13:46:00
Sheila E,A Love Bizarre,2020-12-10 13:42:00
Shuggie Otis,Strawberry Letter 23,2020-12-10 13:37:00
The Killers,Somebody Told Me,2020-12-10 13:34:00
Carly Simon,Anticipation,2020-12-10 13:31:00
The Stone Roses,Elephant Stone,2020-12-10 13:28:00
Alanis Morissette,You Learn,2020-12-10 13:23:00
Sheryl Crow,Home,2020-12-10 13:19:00
Stevie Wonder,Uptight (everything's All Right),2020-12-10 13:16:00
Suicide,Dream Baby Dream,2020-12-10 13:08:00
The Clash,I Fought The Law,2020-12-10 13:06:00
Tool,Schism,2020-12-10 12:59:00
Donovan,Wear Your Love Like Heaven,2020-12-10 12:56:00
Peter Paul & Mary,Leaving On A Jet Plane,2020-12-10 12:52:00
The O'Jays,Back Stabbers,2020-12-10 12:49:00
Spirit,Fresh Garbage,2020-12-10 12:43:00
Gil Scott-Heron,The Bottle,2020-12-10 12:38:00
Iron Butterfly,In-a-gadda-da-vida,2020-12-10 12:19:00
Sting,Fragile,2020-12-10 12:15:00
The Ronettes,Walking In The Rain,2020-12-10 12:10:00
Dr. John,Iko Iko,2020-12-10 12:06:00
Teddy Pendergrass,I Don't Love You Anymore,2020-12-10 12:02:00
Harry Nilsson,Everybody's Talkin',2020-12-10 11:59:00
Al Green,Call Me (Come Back Home),2020-12-10 11:56:00
The Jacksons,Blame It On The Boogie,2020-12-10 11:50:00
Warren Zevon,Accidently Like A Martyr,2020-12-10 11:47:00
Jackie Wilson,Reet Petite (Finest Girl You Ever Wanna Meet),2020-12-10 11:44:00
Little Feat,Long Distance Love,2020-12-10 11:40:00
Solomon Burke,None Of Us Are Free,2020-12-10 11:35:00
DNA & Suzanne Vega,"Tom's Diner (7"" A)",2020-12-10 11:31:00
Radiohead,The National Anthem,2020-12-10 11:22:00
The Stylistics,You Make Me Feel Brand New,2020-12-10 11:17:00
No Doubt,Don't Speak,2020-12-10 11:13:00
The Flaming Lips,Fight Test,2020-12-10 11:08:00
Lana Del Rey,Video Games,2020-12-10 11:04:00
Chuck Berry,Back In The USA,2020-12-10 11:02:00
Muddy Waters,Rollin' Stone,2020-12-10 10:58:00
Psychedelic Furs,Pretty In Pink,2020-12-10 10:52:00
Tom Rush,No Regrets,2020-12-10 10:48:00
War,Me And Baby Brother,2020-12-10 10:45:00
Carole King,You've Got A Friend,2020-12-10 10:38:00
Al Green,I'm Still In Love With You,2020-12-10 10:35:00
Creedence Clearwater Revival,Down On The Corner,2020-12-10 10:33:00
The Eagles,New Kid In Town,2020-12-10 10:27:00
The Eagles,Life In The Fast Lane,2020-12-10 10:22:00
The Band,Whispering Pines,2020-12-10 10:18:00
Aretha Franklin,Amazing Grace,2020-12-10 10:01:00
Jackie DeShannon,What The World Needs Now,2020-12-10 09:58:00
Timmy Thomas,Why Can't We Live Together,2020-12-10 09:52:00
James Brown,The Payback,2020-12-10 09:45:00
Hall & Oates,Fall In Philadelphia,2020-12-10 09:40:00
Roxy Music,In Every Dream Home A Heartache,2020-12-10 09:34:00
Bonnie Raitt,I Know,2020-12-10 09:31:00
Prince,1999,2020-12-10 09:27:00
Lenny Kravitz,Let Love Rule,2020-12-10 09:20:00
The Records,Starry Eyes,2020-12-10 09:16:00
Grand Funk Railroad,I'm Your Captain,2020-12-10 09:07:00
The Replacements,Androgynous,2020-12-10 09:01:00
