Artist,Title,Album,Air Time
Kim Richey,I Know,Bittersweet,2022-12-03 19:27:03
Dionne Farris,I Know,Wild Seed - Wild Flower,2022-12-03 19:23:29
Jill Sobule,I Kissed a Girl,Jill Sobule,2022-12-03 19:19:52
Julian Cope,I Have Always Been Here Before,Where The Pyramid Meets The Eye: A Tribute To Roky Erickson,2022-12-03 19:15:19
Wilco,I Got You (At the End of the Century),Being There,2022-12-03 19:12:57
Luniz,I Got 5 On It,Operation Stackola,2022-12-03 19:06:15
Depeche Mode,I Feel You,Songs Of Truth And Devotion,2022-12-03 19:01:52
Richard Thompson,I Feel So Good,Rumour And Sigh,2022-12-03 18:58:47
Was (Not Was),I Feel Better Than James Brown,Are You Okay?,2022-12-03 18:53:29
Steve Earle,I Feel Alright,I Feel Alright,2022-12-03 18:50:33
Paula Cole,I Don't Want To Wait,This Fire,2022-12-03 18:45:09
Dr. John,I Don't Wanna Know,Anutha Zone,2022-12-03 18:41:51
Tom Waits,I Don't Wanna Grow Up,Bone Machine,2022-12-03 18:39:29
R. E. M.,I Don't Sleep I Dream,Monster,2022-12-03 18:35:44
Richard Thompson,I Can't Wake Up to Save My Life,Mirror Blue,2022-12-03 18:32:28
Bonnie Raitt,I Can't Make You Love Me,Luck Of The Draw,2022-12-03 18:27:02
Maria McKee,I Can't Make It Alone,You Gotta Sin To Get Saved,2022-12-03 18:22:22
Genesis,I Can't Dance,We Can't Dance,2022-12-03 18:18:31
American Music Club,I Broke My Promise,San Francisco,2022-12-03 18:15:04
Londonbeat,I Been Thinking About You,In The Blood,2022-12-03 18:08:59
Chris Bell,I Am The Cosmos,I Am The Cosmos,2022-12-03 18:04:43
Sinead O'Connor,I Am Stretched On Your Grave,I Do Not Want What I Haven't Got,2022-12-03 17:59:13
Paula Cole,I Am So Ordinary,Harbinger,2022-12-03 17:54:32
Smashing Pumpkins,I Am One,Gish,2022-12-03 17:49:06
Guided By Voices,I Am A Tree,Human Amusement At Hourly Rates,2022-12-03 17:44:29
Guided By Voices,I Am A Scientist,Bee Thousand,2022-12-03 17:41:59
Train,I Am,Train,2022-12-03 17:36:26
Live,I Alone,Throwing Copper,2022-12-03 17:32:36
The Notorious B. I. G,Hypnotize,Life After Death,2022-12-03 17:28:45
Bj rk,Hyper Ballad,Post,2022-12-03 17:22:18
Nine Inch Nails,Hurt,The Downward Spiral,2022-12-03 17:17:22
Dido,Hunter,No Angel,2022-12-03 17:13:35
Temple of the Dog,Hunger Strike,Temple of the Dog,2022-12-03 17:08:31
John Mellencamp,Human Wheels,Human Wheels,2022-12-03 17:03:05
Bj rk,Human Behavior,Debut,2022-12-03 16:58:28
The Pretenders,Human,Viva El Amor,2022-12-03 16:54:41
Third Eye Blind,How's It Going to Be,Third Eye Blind,2022-12-03 16:49:18
R. E. M.,How The West Was Won And Where It Got Us,New Adventures In Hi-fi,2022-12-03 16:44:51
The Waterboys,How Long Will I Love You,Room To Roam,2022-12-03 16:40:25
Joni Mitchell,How Do You Stop,Turbulent Indigo,2022-12-03 16:35:01
OMC,How Bizarre,How Bizarre,2022-12-03 16:31:09
Beck,Hotwax,Odelay,2022-12-03 16:27:24
The Black Crowes,Hotel Illness,The Southern Harmony & Musical Companion,2022-12-03 16:22:17
Gipsy Kings,Hotel California,O.s.t. The Big Lebowski,2022-12-03 16:16:22
Le Tigre,Hot Topic,Le Tigre,2022-12-03 16:12:45
Guided By Voices,Hot Freaks,Bee Thousand,2022-12-03 16:10:01
Widespread Panic,Hope In A Hopeless World,Bombs & Butterflies,2022-12-03 16:04:44
Blues Traveler,Hook,Four,2022-12-03 16:00:00
Morphine,Honey White,Yes,2022-12-03 15:56:24
Steve Earle,Hometown Blues,Train A-Comin',2022-12-03 15:53:41
Francis Dunnery,Homegrown,Fearless,2022-12-03 15:48:19
Sheryl Crow,Home,Sheryl Crow,2022-12-03 15:43:38
Handsome Boy Modeling School,Holy Calamity (Bear Witness II),So How's Your Girl,2022-12-03 15:39:36
Neutral Milk Hotel,"Holland, 1945",In The Aeroplane Over The Sea,2022-12-03 15:35:01
Weezer,Holiday,Weezer,2022-12-03 15:31:29
Wilson Phillips,Hold On,Hold On,2022-12-03 15:27:19
Tom Waits,Hold On,Mule Variations,2022-12-03 15:20:34
Sarah McLachlan,Hold On,Fumbling Toward Ecstasy,2022-12-03 15:16:24
En Vogue,Hold On,Born To Sing,2022-12-03 15:11:37
Velvet Crush,Hold Me Up,Teenage Symphonies To God,2022-12-03 15:07:19
Green Day,Hitchin' A Ride,Nimrod.,2022-12-03 15:03:46
Jonny Lang,Hit The Ground Running,Lie To Me,2022-12-03 15:00:29
Missy Elliott,Hit Em Wit Da Hee,Supa Dupa Fly,2022-12-03 14:55:44
Propellerheads,HISTORY REPEATING,Decksandrumsandrockandroll,2022-12-03 14:50:39
Soho,Hippychick,Tricks of the Shade,2022-12-03 14:47:15
The Goats,Hip-Hopola,Tricks of the Shade,2022-12-03 14:42:33
Naughty By Nature,Hip Hop Hooray,19 Naughty III,2022-12-03 14:37:06
Marden Hill,Hijack,Hijack,2022-12-03 14:33:19
The Blessing,Highway 5,Prince Of The Deep Water,2022-12-03 14:28:24
Creed,Higher,Human Clay,2022-12-03 14:22:33
The Fall,High Tension Line,Shift Work,2022-12-03 14:18:52
DJ Shadow,High Noon,Preemptive Strike,2022-12-03 14:14:58
Radiohead,High and Dry,The Bends,2022-12-03 14:09:23
The Cure,High,Wish,2022-12-03 14:05:51
Richard Thompson,Hide It Away,You? Me? Us?,2022-12-03 14:01:36
Filter,Hey Man Nice Shot,Short Bus,2022-12-03 13:55:58
Gin Blossoms,Hey Jealousy,New Miserable Experience,2022-12-03 13:50:54
Roni Size / Reprazent,Heroes,New Forms,2022-12-03 13:44:13
Jeffrey Gaines,Hero In Me,Jeffrey Gaines,2022-12-03 13:39:32
The Sundays,Here's Where The Story Ends,"Reading, Writing And Arithmetic",2022-12-03 13:34:39
Goldfinger,Here in Your Bedroom,Goldfinger,2022-12-03 13:31:20
Ini Kamoze,Here Comes The Hotstepper,Ost-pret-a-porter,2022-12-03 13:27:14
John Wesley Harding,Here Comes The Groom,Here Comes The Groom,2022-12-03 13:22:04
Letters to Cleo,Here and Now,Aurora Gory Alice,2022-12-03 13:17:01
Liz Phair,Help Me Mary,Exile In Guyville,2022-12-03 13:14:48
Kim Richey,Hello Old Friend,Glimmer,2022-12-03 13:08:37
Tricky,Hell Is Round The Corner,Maxinquaye,2022-12-03 13:04:48
Squirrel Nut Zippers,Hell,Hot,2022-12-03 13:01:45
Dire Straits,Heavy Fuel,On Every Street,2022-12-03 12:56:08
Collective Soul,Heavy,Dosage,2022-12-03 12:52:21
The Chills,Heavenly Pop Hit,Submarine Bells,2022-12-03 12:48:56
Alice In Chains,Heaven Beside You,Alice In Chains,2022-12-03 12:45:07
My Morning Jacket,Heartbreakin Man,The Tennessee Fire,2022-12-03 12:41:26
Nirvana,Heart-Shaped Box,In Utero,2022-12-03 12:36:49
Jazzyfatnastees,Hear Me,The Once And Future,2022-12-03 12:32:28
Alanis Morissette,Head Over Feet,Jagged Little Pill,2022-12-03 12:25:54
Mouth Music,He Mandu,Mo-Di,2022-12-03 12:20:33
Neil Young,Harvest Moon,Harvest Moon,2022-12-03 12:15:42
Olu Dara,Harlem Country Girl,In The World,2022-12-03 12:08:56
The Black Crowes,Hard to Handle,Shake Your Money Maker,2022-12-03 12:05:16
The Vaughan Brothers,Hard To Be,Family Style,2022-12-03 12:00:45
"Suddenly, Tammy!",Hard Lesson,We Get There When We Do,2022-12-03 11:57:09
Jay-Z,Hard Knock Life (Ghetto Anthem),Vol. 2...Hard Knock Life,2022-12-03 11:51:26
Pizzicato Five,Happy Ending,Happy End of the World,2022-12-03 11:46:35
Cracker,Happy Birthday To Me,Cracker,2022-12-03 11:43:14
Counting Crows,Hangin' Around,This Desert Life,2022-12-03 11:37:36
Crescent City Gold,Hang Tough,The Ultimate Session,2022-12-03 11:33:14
Alanis Morissette,Hand In My Pocket,Jagged Little Pill,2022-12-03 11:29:43
Indigo Girls,Hammer And A Nail,Nomads Indians Saints,2022-12-03 11:24:29
Jeff Buckley,Hallelujah,Grace,2022-12-03 11:17:38
Ben Harper,Ground On Down,Fight For Your Mind,2022-12-03 11:09:34
The Farm,Groovy Train,Spartacus,2022-12-03 11:04:26
Deee-Lite,Groove Is In The Heart,World Clique,2022-12-03 11:00:40
Beastie Boys,Groove Holmes,Check Your Head,2022-12-03 10:57:17
Ned's Atomic Dustbin,Grey Cell Green,God Fodder,2022-12-03 10:53:04
Echobelly,Great Things,On,2022-12-03 10:49:37
Bruce Cockburn,Great Big Love,Nothing But A Burning Light,2022-12-03 10:44:45
The Bottle Rockets,Gravity Fails,The Brooklyn Side,2022-12-03 10:41:17
Jeff Buckley,Grace,Grace,2022-12-03 10:33:41
MC Breed featuring Tupac,Gotta Get Mine,The New Breed,2022-12-03 10:29:26
Shelby Lynne,Gotta Get Back,I Am Shelby Lynne,2022-12-03 10:25:54
Indigenous,Got To Tell You,Things We Do,2022-12-03 10:19:55
Janet Jackson,Got Til It's Gone,The Velvet Rope,2022-12-03 10:15:38
