Artist,Title,Album,Air Time
Billy Joel,The River Of Dreams,River of Dreams,2022-12-07 06:39:07
Corona,The Rhythm of The Night,The Rhythm of The Night,2022-12-07 06:33:34
ENIGMA,The Return To Innocence,The Cross Of Changes,2022-12-07 06:29:22
Sylk 130,The Reason (Playa Duplaix Mix),King Britt Presents Sylk 130: The Remixes,2022-12-07 06:25:33
Lisa Stansfield,The Real Thing,Lisa Stansfield,2022-12-07 06:17:45
John Doe,The Real One,Meet John Doe,2022-12-07 06:13:34
The Mighty Mighty Bosstones,The Rascal King,Let's Face It,2022-12-07 06:10:50
Missy Elliott,The Rain (Supa Dupa Fly),Supa Dupa Fly,2022-12-07 06:04:19
Snap!,The Power,World Power,2022-12-07 06:00:35
Nine Inch Nails,The Perfect Drug - Luke Vibert Remix,The Perfect Drug,2022-12-07 05:53:07
Elvis Costello,The Other Side Of Summer,Mighty Like A Rose,2022-12-07 05:48:22
Charlatans UK,The Only One I Know,Some Friendly,2022-12-07 05:44:30
Barenaked Ladies,The Old Apartment,Born on a Pirate Ship,2022-12-07 05:41:04
Paul Simon,The Obvious Child,Rhythm Of The Saints,2022-12-07 05:30:54
Jackson Browne,The Next Voice You Hear,Next Voice You Hear,2022-12-07 05:26:14
Beck,The New Pollution,Odelay,2022-12-07 05:21:19
Loreena McKennitt,The Mummer's Dance,Book Of Secrets,2022-12-07 05:15:27
Steve Earle & The Del McCoury Band,The Mountain,The Mountain,2022-12-07 05:10:51
Prince,The Most Beautiful Girl In The World,The Gold Experiemce,2022-12-07 05:05:24
Heidi Berry,The Moon & The Sun,Heidi Berry,2022-12-07 05:00:49
Phish,The Moma Dance,The Story Of The Ghost,2022-12-07 04:56:49
Ween,The Mollusk,The Mollusk,2022-12-07 04:53:45
k. d. lang,The Mind Of Love,Ingenue,2022-12-07 04:49:23
Nirvana,The Man Who Sold The World,MTV Unplugged In New York,2022-12-07 04:45:48
Johnny Cash,The Man Who Couldn't Cry,American Recordings,2022-12-07 04:40:56
Willie Nelson,The Maker,Teatro,2022-12-07 04:35:40
Cliff Eberhardt,The Long Road,The Long Road,2022-12-07 04:30:05
Uncle Tupelo,The Long Cut,Anodyne,2022-12-07 04:26:55
Drive-By Truckers,The Living Bubba,Gangstabilly,2022-12-07 04:20:22
Super Furry Animals,The International Language Of Screaming,Radiator,2022-12-07 04:18:09
The Mighty Mighty Bosstones,The Impression That I Get,Let's Face It,2022-12-07 04:15:01
The Dismemberment Plan,The Ice of Boston,The Dismemberment Plan Is Terrified,2022-12-07 04:09:21
Tracey Thorn and Massive Attack,The Hunter Gets Captured By The Game,Batman Forever,2022-12-07 04:03:44
Digital Underground,The Humpty Dance,Rhino Hi-Five,2022-12-07 03:57:24
Shawn Colvin,The Heart Of Saturday Night,Cover Girl,2022-12-07 03:53:23
Prince,The Greatest Romance Ever Sold,Rave Un2 The Joy Fantastic,2022-12-07 03:47:25
R. E. M.,The Great Beyond,Man On The Moon Soundtrack,2022-12-07 03:43:22
Weezer,The Good Life,Pinkerton,2022-12-07 03:39:04
Jellyfish,The Glutton of Sympathy,Spilt Milk,2022-12-07 03:34:28
Big Audio Dynamite,The Globe,The Globe,2022-12-07 03:30:48
Crash Test Dummies,The Ghosts That Haunt Me,The Ghosts That Haunt Me,2022-12-07 03:27:06
Bruce Springsteen,The Ghost Of Tom Joad,The Ghost Of Tom Joad,2022-12-07 03:21:50
Counting Crows,The Ghost In You,Ost - Clueless,2022-12-07 03:18:14
Bonnie Raitt,The Fundamental Things,Fundamental,2022-12-07 03:14:39
The Verve Pipe,The Freshmen,Villains,2022-12-07 03:08:51
Robert Cray,The Forecast (Calls For Pain),Midnight Stroll,2022-12-07 03:04:58
U2,The Fly,Achtung Baby,2022-12-07 03:00:33
Fiona Apple,The First Taste,Tidal,2022-12-07 02:55:20
Space,The Female Of The Species,Spiders,2022-12-07 02:50:18
Sleater-Kinney,The End Of You,The Hot Rock,2022-12-07 02:47:06
Sinead O'Connor,The Emperor's New Clothes,I Do Not Want What I Haven't Got,2022-12-07 02:41:48
The Verve,The Drugs Don't Work,Urban Hymns,2022-12-07 02:35:45
Cake,The Distance,Fashion Nugget,2022-12-07 02:32:56
The Wallflowers,The Difference,Bringing Down The Horse,2022-12-07 02:29:17
John Wesley Harding,The Devil In Me,Here Comes The Groom,2022-12-07 02:23:50
Aztec Camera,The Crying Scene,Stray,2022-12-07 02:20:16
Boy George,The Crying Game,At Worst... The Best of Boy George and Culture Club,2022-12-07 02:17:00
Brooklyn Funk Essentials,The Creator Has a Master Plan,Cool and Steady and Easy,2022-12-07 02:10:44
Teenage Fanclub,The Concept,Bandwagonesque,2022-12-07 02:04:54
The Dismemberment Plan,The City,Emergency & I,2022-12-07 02:00:33
Black Sheep,The Choice Is Yours (Revisited),A Wolf in Sheep's Clothing,2022-12-07 01:56:02
Paul Weller,The Changingman,Stanley Road,2022-12-07 01:51:56
Dire Straits,The Bug,On Every Street,2022-12-07 01:47:27
Belle and Sebastian,The Boy With The Arab Strap,The Boy With The Arab Strap,2022-12-07 01:42:41
Brandy & Monica,The Boy Is Mine,Never Say Never,2022-12-07 01:38:36
LL Cool J,The Boomin' System,Mama Said Knock You Out,2022-12-07 01:34:36
The Magnetic Fields,The Book Of Love,69 Love Songs,2022-12-07 01:31:53
Tony! Toni! Tone!,The Blues,The Revival,2022-12-07 01:27:53
Dave Matthews Band,The Best Of What's Around,Under The Table And Dreaming,2022-12-07 01:22:47
Radiohead,The Bends,The Bends,2022-12-07 01:18:48
Live,The Beauty Of Gray,Mental Jewelry,2022-12-07 01:14:48
Martin Sexton,The Beast In Me,The American,2022-12-07 01:08:25
XTC,The Ballad Of Peter Pumpkinhead,Nonsuch,2022-12-07 01:03:27
Teenage Fanclub,The Ballad Of John And Yoko,(single),2022-12-07 01:00:31
Evan Dando,The Ballad of El Goodo,Empire Records (Original Soundtrack),2022-12-07 00:56:21
The Story,The Angel In The House,Angel In The House,2022-12-07 00:47:22
Janet Jackson,That's The Way Love Goes,Janet,2022-12-07 00:42:46
Lyle Lovett,That's Right (You're Not From Texas),The Road To Ensenada,2022-12-07 00:36:27
Keb' Mo',That's Not Love,Just Like You,2022-12-07 00:32:24
Aimee Mann,That's Just What You Are,I'm With Stupid,2022-12-07 00:28:14
Ceili Rain,That's All the Lumber You Sent,Say Kay-Lee,2022-12-07 00:22:07
Los Lobos,That Train Don't Stop Here Anymore,Kiko,2022-12-07 00:18:22
The Wonders,That Thing You Do,That Thing You Do (soundtrack),2022-12-07 00:15:42
Jonathan Richman,That Summer Feeling,"I, Jonathan",2022-12-07 00:08:12
Dido,Thank You,No Angel,2022-12-07 00:04:38
Alanis Morissette,Thank U,Supposed Former Infatuation Junkie,2022-12-07 00:00:32
